time_s,cycle,s_mm,delta_s_mm,com_x,com_y,com_z,center_x,center_y,center_z,axis_x,axis_y,axis_z,t_x,t_y,t_z,e1_x,e1_y,e1_z,e2_x,e2_y,e2_z,q1,q2,robot_phase_rad,B_phase_rad,phase_lag_rad,phase_valid,tilt_deg,Bx_T,By_T,Bz_T,contact_active
0.0,1,13.821574006285505,0.0,-7.468174204284,-3.676918015967,-9.550745259298,-7.389567925444389,-3.2363531447616065,-9.789308499120153,0.9647382600215763,-0.11887423721399708,0.2348382536498942,0.9762799602464296,-0.06183202474469779,0.20749515641865243,-0.14015079194988206,0.5500056502909205,0.8233173994055285,-0.16503089025104006,-0.8328688884596619,0.5282936871654974,-0.0072439130321300255,0.06385860681252074,1.6837502384684606,-1.9547499126777361,-2.64468515603339,0,3.6848337365430397,0.0094824029854947,0.0022955306416026,-0.0021942134568321,0
9.999999747378752e-06,1,13.82157400628587,3.6415315207705135e-13,-7.468174204285488,-3.676918015970291,-9.550745259293736,-7.389567925444746,-3.2363531447615843,-9.789308499120228,0.9647382608878606,-0.11887423524112753,0.23483825108977316,0.9762799602464296,-0.06183202474469779,0.20749515641865243,-0.14015079194988206,0.5500056502909205,0.8233173994055285,-0.16503089025104006,-0.8328688884596619,0.5282936871654974,-0.00724391417624326,0.06385860367391961,1.6837502616616935,-1.9528838066782943,-2.646551238839599,0,3.68483356489436,0.009481765510459896,0.002303194829811838,-0.0021889302184393473,0
1.9999999494757503e-05,1,13.821574006291321,5.81579229219642e-12,-7.468174204307715,-3.6769180160195267,-9.5507452592301,-7.389567925450068,-3.236353144761247,-9.789308499121358,0.9647382738253224,-0.11887420572747864,0.2348382128811207,0.9762799602464296,-0.06183202474469779,0.20749515641865243,-0.14015079194988206,0.5500056502909205,0.8233173994055285,-0.16503089025104006,-0.8328688884596619,0.5282936871654974,-0.007243931214613503,0.06385855677244894,1.6837506073423274,-1.9509988511231309,-2.6484358487141284,0,3.6848309994935264,0.009481117965988667,0.0023109263986596704,-0.00218357952367576,0
2.9999999242136255e-05,1,13.821574006314847,2.934186227321334e-11,-7.468174204403559,-3.676918016232225,-9.550745258955907,-7.3895679254730355,-3.236353144759793,-9.78930849912624,0.9647383296111608,-0.11887407822742768,0.23483804824739696,0.9762799602464296,-0.06183202474469779,0.20749515641865243,-0.14015079194988206,0.5500056502909205,0.8233173994055285,-0.16503089025104006,-0.8328688884596619,0.5282936871654974,-0.007244004453103761,0.0638583544002797,1.6837520945851958,-1.949113895568865,-2.650319317025526,0,3.6848199284070584,0.009480466775637025,0.002318647855307058,-0.0021782146881377112,0
3.9999998989515007e-05,1,13.821574006377913,9.240785914244043e-11,-7.4681742046602855,-3.6769180168030395,-9.550745258222037,-7.389567925534607,-3.236353144755893,-9.789308499139327,0.9647384790344108,-0.11887373605784177,0.23483760760581415,0.9762799602464296,-0.06183202474469779,0.20749515641865243,-0.14015079194988206,0.5500056502909205,0.8233173994055285,-0.16503089025104006,-0.8328688884596619,0.5282936871654974,-0.007244199987567007,0.06385781197025857,1.6837560690539106,-1.947228940024973,-2.6522002981007033,0,3.684790248974457,0.009479811959201613,0.002326359221100863,-0.002172835798609254,0
4.999999873689376e-05,1,13.821574006510318,2.248121688808169e-10,-7.468174205198801,-3.6769180180026986,-9.550745256683872,-7.389567925663869,-3.2363531447477056,-9.7893084991668,0.964738792461433,-0.11887301693134039,0.23483668402891733,0.9762799602464296,-0.06183202474469779,0.20749515641865243,-0.14015079194988206,0.5500056502909205,0.8233173994055285,-0.16503089025104006,-0.8328688884596619,0.5282936871654974,-0.007244608787902201,0.06385667338718397,1.6837643865636145,-1.9453439844706917,-2.6540769361452807,0,3.6847279402295423,0.009479153482754674,0.002334060367687446,-0.002167442733705757,0
5.999999848427251e-05,1,13.821574006750017,4.645119844326473e-10,-7.468174206172912,-3.676918020176933,-9.55074525390372,-7.389567925897882,-3.2363531447328855,-9.789308499216535,0.9647393594003842,-0.1188717135996358,0.23483501470100807,0.9762799602464296,-0.06183202474469779,0.20749515641865246,-0.14015079194988206,0.5500056502909205,0.8233173994055285,-0.1650308902510401,-0.8328688884596619,0.5282936871654974,-0.007245345791756466,0.06385461242491976,1.6837793969720907,-1.9434590289176843,-2.6559468812898115,0,3.684615135890244,0.009478491367769919,0.0023417513209168157,-0.0021620355867593686,0
7.000000186963007e-05,1,13.82157400714298,8.574740917310919e-10,-7.4681742077685715,-3.676918023745386,-9.550745249353241,-7.389567926281526,-3.2363531447085867,-9.789308499298073,0.964740288063769,-0.11886957450782319,0.23483228236970605,0.9762799602464296,-0.06183202474469779,0.20749515641865243,-0.14015079194988206,0.5500056502909205,0.8233173994055285,-0.16503089025104006,-0.8328688884596619,0.5282936871654974,-0.007246549007983771,0.06385123411037628,1.6838039285297544,-1.9415740726795403,-2.6578073059702922,0,3.684430198092245,0.00947782561581048,0.0023494320547427896,-0.0021566143728867547,0
7.999999797903001e-05,1,13.821574007743017,1.457511444868942e-09,-7.468174210203129,-3.6769180292005004,-9.550745242415863,-7.389567926867329,-3.2363531446714857,-9.789308499422578,0.9647417049284293,-0.1188663044582774,0.23482811679230398,0.9762799602464296,-0.06183202474469779,0.20749515641865243,-0.14015079194988206,0.5500056502909205,0.8233173994055285,-0.16503089025104006,-0.8328688884596619,0.5282936871654974,-0.007248378629314753,0.06384607611316469,1.6838412728428502,-1.9396891178134599,-2.659654916523276,0,3.6841477919407777,0.009477156229968005,0.0023571025335017443,-0.0021511791172617737,0
9.000000136438757e-05,1,13.821574008611606,2.326100201344161e-09,-7.4681742137245735,-3.676918037106396,-9.550745232389172,-7.389567927715314,-3.2363531446177793,-9.789308499602807,0.9647437542912025,-0.11886156528485986,0.23482209617953065,0.9762799602464296,-0.06183202474469779,0.20749515641865243,-0.14015079194988206,0.5500056502909205,0.8233173994055285,-0.16503089025104006,-0.8328688884596619,0.5282936871654974,-0.007251016152224454,0.06383861014318427,1.6838951706024303,-1.9378041615764943,-2.661485975000662,0,3.6837389611579745,0.009476483211648585,0.002364762741117038,-0.002145729831290603,0
9.999999747378752e-05,1,13.821574009817706,3.532200310019107e-09,-7.4681742186107565,-3.676918048097721,-9.550745218487323,-7.389567928892806,-3.2363531445432034,-9.789308499853066,0.9647465978197909,-0.11885497654134686,0.23481374863174978,0.9762799602464296,-0.06183202474469779,0.20749515641865243,-0.14015079194988206,0.5500056502909205,0.8233173994055285,-0.16503089025104006,-0.8328688884596619,0.5282936871654974,-0.007254663510177936,0.06382824335684793,1.6839697983854411,-1.935919206711584,-2.6632963020825615,0,3.683171205088968,0.009475806564219985,0.0023724126392266807,-0.0021402665422504035,0
0.00011000000085914508,1,13.821574011437576,5.152070770009232e-09,-7.468174225168622,-3.676918062878488,-9.550745199843432,-7.389567930474254,-3.2363531444430436,-9.789308500189183,0.9647504140961699,-0.11884611620001326,0.2348025535752152,0.9762799602464296,-0.06183202474469779,0.20749515641865243,-0.14015079194988206,0.5500056502909205,0.8233173994055285,-0.16503089025104006,-0.8328688884596619,0.5282936871654974,-0.007259542211369999,0.06381431977302708,1.6840697566226657,-1.9340342504757326,-2.6650813000811886,0,3.6824085572753127,0.009475126289103181,0.0023800522117970882,-0.002134789261605551,0
0.00011999999696854502,1,13.821574013554555,7.269049362434998e-09,-7.4681742337334045,-3.6769180822208964,-9.550745175511944,-7.389567932541018,-3.2363531443121465,-9.789308500628444,0.964755398153803,-0.11883452135585022,0.234787943189644,0.9762799602464296,-0.06183202474469779,0.20749515641865243,-0.14015079194988206,0.5500056502909205,0.8233173994055285,-0.16503089025104006,-0.8328688884596619,0.5282936871654974,-0.007265892485843278,0.06379612169012458,1.6842000590783057,-1.9321492956119113,-2.6668359524893694,0,3.681411665344159,0.009474442389702513,0.002387681420569662,-0.002129298016773777,0
0.00013000000035390258,1,13.821574016258847,9.973341263957991e-09,-7.468174244667824,-3.676918106964105,-9.550745144471025,-7.389567935181163,-3.2363531441449354,-9.789308501189572,0.9647617610022815,-0.11881968895405119,0.23476930383812863,0.9762799602464296,-0.06183202474469779,0.20749515641865243,-0.14015079194988206,0.5500056502909205,0.8233173994055285,-0.16503089025104006,-0.8328688884596619,0.5282936871654974,-0.007273972441716001,0.06377287112583767,1.6843661240721188,-1.9302643393771446,-2.6685548437303233,0,3.6801378736729604,0.009473754867454139,0.002395300249553882,-0.0021237928192777466,0
0.00014000000373926014,1,13.82157401964728,1.3361773909537078e-08,-7.468174258361258,-3.676918138013046,-9.550745105624943,-7.389567938489222,-3.236353143935421,-9.789308501892656,0.964769729142107,-0.11880107651645656,0.23474597749396323,0.9762799602464296,-0.06183202474469779,0.20749515641865243,-0.14015079194988206,0.5500056502909205,0.8233173994055285,-0.16503089025104006,-0.8328688884596619,0.5282936871654974,-0.007284057221996085,0.06374373125605043,1.6845737676446464,-1.9283793831428864,-2.670232156392054,0,3.6785413076670768,0.009473063725295517,0.002402908666130271,-0.0021182736926582918,0
0.0001500000071246177,1,13.821574023823029,1.7537523433475144e-08,-7.468174275228878,-3.676918176337135,-9.550745057806411,-7.3895679425659235,-3.236353143677226,-9.789308502759102,0.9647795440679952,-0.11877810291258839,0.2347172631410777,0.9762799602464296,-0.06183202474469779,0.20749515641865243,-0.14015079194988206,0.5500056502909205,0.8233173994055285,-0.16503089025104006,-0.8328688884596619,0.5282936871654974,-0.00729643820604052,0.06370780787881528,1.6848291996111335,-1.9264944269091349,-2.6718616806593185,0,3.67657296166885,0.009472368965681615,0.0024105066432740805,-0.0021127406565197,0
0.00015999999595806003,1,13.821574028895352,2.260984643953634e-08,-7.468174295710791,-3.6769182229690456,-9.550744999778972,-7.38956794751793,-3.236353143363594,-9.789308503811586,0.9647914617518618,-0.11875014908832922,0.2346824182213177,0.9762799602464296,-0.06183202474469779,0.20749515641865243,-0.14015079194988206,0.5500056502909205,0.8233173994055285,-0.16503089025104006,-0.8328688884596619,0.5282936871654974,-0.007311422146302149,0.06366415087115909,1.6851390211959634,-1.9246094734188464,-2.673436812564777,0,3.6741807882082527,0.009471670592097262,0.0024180941429586553,-0.002107193738590434,0
0.00016999999934341758,1,13.821574034979273,2.8693767362142353e-08,-7.468174320271127,-3.676918279003355,-9.550744930239377,-7.389567953457539,-3.2363531429874124,-9.78930850507397,0.9648057521101402,-0.11871655883719749,0.2346406600592521,0.9762799602464296,-0.06183202474469779,0.20749515641865243,-0.14015079194988206,0.5500056502909205,0.8233173994055285,-0.16503089025104006,-0.8328688884596619,0.5282936871654974,-0.007329330344810758,0.06361175567208036,1.685510226153076,-1.922724517186059,-2.6749505638404516,0,3.6713097914502466,0.009470968604994596,0.0024256711603271516,-0.0021016329424442975,0
0.00018000000272877514,1,13.82157404219519,3.590968411515405e-08,-7.468174349397077,-3.6769183455952783,-9.550744847819859,-7.389567960502294,-3.2363531425412377,-9.789308506571238,0.9648226984656383,-0.11867663965980624,0.2345911671920757,0.9762799602464296,-0.06183202474469779,0.20749515641865243,-0.14015079194988206,0.5500056502909205,0.8233173994055285,-0.16503089025104006,-0.8328688884596619,0.5282936871654974,-0.007350497955527127,0.06354956478975492,1.6859502070861208,-1.920839560953726,-2.67639553913974,0,3.6679021255897615,0.009470263007878735,0.0024332376574119274,-0.00209605829588786,0
0.0001900000061141327,1,13.821574050668548,4.438304301856988e-08,-7.468174383597943,-3.6769184239593597,-9.550744751090606,-7.389567968774665,-3.2363531420173137,-9.78930850832942,0.9648425969475558,-0.11862966348304575,0.23453308094466346,0.9762799602464296,-0.06183202474469779,0.20749515641865243,-0.14015079194988206,0.5500056502909205,0.8233173994055285,-0.16503089025104006,-0.8328688884596619,0.5282936871654974,-0.0073752729990397975,0.06347646933162782,1.6864667609534993,-1.9189546047218422,-2.6777639415042453,0,3.6638971957095614,0.009469553803256071,0.0024407936073370627,-0.0020904698187224715,0
