event,cycle,start_s,end_s,duration_us,peak_force_N,sector_deg,true_separation_after
1,1,0.0016719000414013863,0.0016738000558689237,2.0116567611694336,4.449501590286584,74.2499937614751,1
2,1,0.0020963000133633614,0.0020981000270694494,1.911073923110962,2.628463950121129,255.93114944223638,1
3,1,0.004075299948453903,0.004076799843460321,1.6093254089355469,2.921245327640729,283.68233923997536,1
4,1,0.005618699826300144,0.005620100069791079,1.5087425708770752,2.1944571381331475,136.60950610641223,1
5,1,0.006741799879819155,0.006743299774825573,1.6093254089355469,1.4531464268251453,168.23358121715833,1
6,1,0.008060299791395664,0.008061899803578854,1.7099082469940186,2.123115191530099,344.0973984863681,1
7,1,0.010308800265192986,0.010310100391507149,1.4081597328186035,2.6431863739961012,43.09392271853925,1
8,1,0.01072120014578104,0.010722899809479713,1.8104910850524902,1.5560504742604786,192.85481034625764,1
9,1,0.01241500023752451,0.01241649966686964,1.6093254089355469,1.6807506171351936,195.3475860978407,1
10,1,0.012866999953985214,0.012868699617683887,1.8104910850524902,0.643872323302713,224.38281248298821,1
11,1,0.013558399863541126,0.013559799641370773,1.5087425708770752,2.1547617572253626,42.61654741045602,1
12,1,0.013721000403165817,0.01372270006686449,1.8104910850524902,0.60739193306506,255.14153830509497,1
13,1,0.015437199734151363,0.015438799746334553,1.7099082469940186,0.932685371862886,252.6406693467607,1
14,1,0.01567010022699833,0.0156714990735054,1.5087425708770752,1.0000186009631793,12.45951326406402,1
15,1,0.01629660092294216,0.016298100352287292,1.6093254089355469,1.0114377128797143,287.28275830664757,1
16,1,0.017295800149440765,0.017297400161623955,1.7099082469940186,0.3680520202907544,286.08286740850104,1
17,1,0.017778299748897552,0.017779799178242683,1.6093254089355469,1.4519611146412166,75.92409547527122,1
18,1,0.020468799397349358,0.020470300689339638,1.6093254089355469,0.5815744121886839,106.47951456228894,1
19,1,0.02263519912958145,0.02263670042157173,1.6093254089355469,0.7763863785708829,166.96416799285421,1
20,1,0.02375970035791397,0.02376139909029007,1.8104910850524902,0.5759296235796448,284.69448553531277,1
21,1,0.025182299315929413,0.025183800607919693,1.6093254089355469,0.6362382110773933,167.141039778688,1
22,1,0.027139199897646904,0.027140900492668152,1.8104910850524902,0.30677269953556896,345.5085712294938,1
23,1,0.028701499104499817,0.028703099116683006,1.7099082469940186,0.1324367183857759,348.0290476214986,1
24,1,0.03023819997906685,0.03023969940841198,1.6093254089355469,0.25605769891365016,255.6715935621143,1
25,1,0.032489001750946045,0.03249039873480797,1.5087425708770752,0.6927273042872111,285.1613282393431,1
26,2,0.03527050092816353,0.03527190163731575,1.5087425708770752,0.21818390614774405,75.2637109546987,1
27,2,0.037464600056409836,0.03746600076556206,1.5087425708770752,0.48913060521011764,72.94185982746272,1
