time_s,s_mm,center_vx,center_vy,center_vz,t_x,t_y,t_z,e1_x,e1_y,e1_z,e2_x,e2_y,e2_z,Bx_T,By_T,Bz_T,prod_Bx_T,prod_By_T,prod_Bz_T
0.0,13.821574006285505,-7.389567925444389,-3.2363531447616065,-9.789308499120153,0.9762799602464296,-0.06183202474469779,0.20749515641865243,-0.14015079194988206,0.5500056502909205,0.8233173994055285,-0.16503089025104006,-0.8328688884596619,0.5282936871654974,0.009482409406202878,0.0022954531747156346,-0.002194266751296009,0.009482409406202878,0.0022954531747156346,-0.002194266751296009
0.00018518518518518518,13.821574006285505,-7.389567925444389,-3.2363531447616065,-9.789308499120153,0.9762799602464296,-0.06183202474469779,0.20749515641865243,-0.14015079194988206,0.5500056502909205,0.8233173994055285,-0.16503089025104006,-0.8328688884596619,0.5282936871654974,0.009469895986393383,0.002437157644163024,-0.002093163305714179,0.009469895986393383,0.002437157644163024,-0.002093163305714179
0.00037037037037037035,13.821574006285505,-7.389567925444389,-3.2363531447616065,-9.789308499120153,0.9762799602464296,-0.06183202474469779,0.20749515641865243,-0.14015079194988206,0.5500056502909205,0.8233173994055285,-0.16503089025104006,-0.8328688884596619,0.5282936871654974,0.009456145868045017,0.002575240411271258,-0.001987320343178384,0.009456145868045017,0.002575240411271258,-0.001987320343178384
0.0005555555555555556,13.821574006285505,-7.389567925444389,-3.2363531447616065,-9.789308499120153,0.9762799602464296,-0.06183202474469779,0.20749515641865243,-0.14015079194988206,0.5500056502909205,0.8233173994055285,-0.16503089025104006,-0.8328688884596619,0.5282936871654974,0.009441175803558946,0.002709533243458628,-0.0018768668170346232,0.009441175803558946,0.002709533243458628,-0.0018768668170346232
0.0007407407407407407,13.821574006285505,-7.389567925444389,-3.2363531447616065,-9.789308499120153,0.9762799602464296,-0.06183202474469779,0.20749515641865243,-0.14015079194988206,0.5500056502909205,0.8233173994055285,-0.16503089025104006,-0.8328688884596619,0.5282936871654974,0.009425004031652787,0.002839872525595347,-0.0017619372978904346,0.009425004031652787,0.002839872525595347,-0.0017619372978904346
0.0009259259259259259,13.821574006285505,-7.389567925444389,-3.2363531447616065,-9.789308499120153,0.9762799602464296,-0.06183202474469779,0.20749515641865243,-0.14015079194988206,0.5500056502909205,0.8233173994055285,-0.16503089025104006,-0.8328688884596619,0.5282936871654974,0.009407650255139536,0.0029660994593433527,-0.0016426718096613688,0.009407650255139536,0.0029660994593433527,-0.0016426718096613688
0.0011111111111111111,13.821574006285505,-7.389567925444389,-3.2363531447616065,-9.789308499120153,0.9762799602464296,-0.06183202474469779,0.20749515641865243,-0.14015079194988206,0.5500056502909205,0.8233173994055285,-0.16503089025104006,-0.8328688884596619,0.5282936871654974,0.009389135616922726,0.003088060256627645,-0.0015192156589733823,0.009389135616922726,0.003088060256627645,-0.0015192156589733823
0.0012962962962962963,13.821574006285505,-7.389567925444389,-3.2363531447616065,-9.789308499120153,0.9762799602464296,-0.06183202474469779,0.20749515641865243,-0.14015079194988206,0.5500056502909205,0.8233173994055285,-0.16503089025104006,-0.8328688884596619,0.5282936871654974,0.009369482674237069,0.0032056063270033503,-0.0013917192581291368,0.009369482674237069,0.0032056063270033503,-0.0013917192581291368
0.0014814814814814814,13.821574006285505,-7.389567925444389,-3.2363531447616065,-9.789308499120153,0.9762799602464296,-0.06183202474469779,0.20749515641865243,-0.14015079194988206,0.5500056502909205,0.8233173994055285,-0.16503089025104006,-0.8328688884596619,0.5282936871654974,0.009348715371165921,0.0033185944586903026,-0.0012603379418537402,0.009348715371165921,0.0033185944586903026,-0.0012603379418537402
0.0016666666666666666,13.821574006285505,-7.389567925444389,-3.2363531447616065,-9.789308499120153,0.9762799602464296,-0.06183202474469779,0.20749515641865243,-0.14015079194988206,0.5500056502909205,0.8233173994055285,-0.16503089025104006,-0.8328688884596619,0.5282936871654974,0.009326859009469113,0.0034268869930545306,-0.0011252317780433305,0.009326859009469113,0.0034268869930545306,-0.0011252317780433305
