cycle,local_B_winding,robot_axis_winding,mean_phase_lag_deg,phase_valid_fraction,tilt_min_deg,tilt_mean_deg,tilt_max_deg,orbit_area,orbit_centroid_e1,orbit_centroid_e2,radial_RMS,contact_event_count,true_separation_count,contact_sector_order,both_end_support_fraction,longest_contact_us,longest_bridge_ms,delta_s_mm,ALLKE_range,ETOTAL_range
1,0.9998970281216142,1.407364642313865,-1.1302444166989112,0.971505698860228,1.4090645523392682,26.938196466256116,38.5245120573559,0.599970823067234,-0.017288504234746645,0.014276276213922643,0.45977912211841093,25,25,2-9-9-5-6-11-1-6-7-7-1-9-8-0-10-10-3-4-6-9-6-0-0-9-10,0.038922155688622756,2.0116567611694336,0.9000003337860107,2.0140100825872747,0.0015982665354385972,4.935323705268502e-09
2,0.999600147909312,1.0244796438717398,-0.24185631116738812,1.0,27.469066022014758,29.76898598311377,32.4341926447095,0.7784162136851855,-0.00016066762988000484,-0.000210138954347946,0.4966859287046045,17,17,3-2-0-4-0-5-6-7-7-9-11-3-0-4-5-0-6,0.03003003003003003,2.1122395992279053,0.7000043988227844,-0.23132040337391402,9.761815454112366e-05,3.0602365086451755e-10
3,0.9995999893102777,0.9860316891520432,-0.26758081380688514,1.0,25.913910169467282,29.63743422442463,33.752176678782355,0.7714987467374241,0.0069872185415943405,-0.006479537536427672,0.4949106709429914,59,57,6-7-0-10-1-2-3-3-11-2-3-3-11-4-11-5-6-6-6-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-11-8-0-0-0-11-11-11-11-11-11-0-0-1,0.10810810810810811,286.6610884666443,0.9000003337860107,-1.4158494605993965,0.00011393970453354996,8.83085302660902e-08
