case,job,delta_s_mm,fraction_v_s_positive,longest_near_zero_v_s_ms,axial_reversals,rocking_min_deg,rocking_max_deg,max_radial_COM_drift_mm,contact_count,longest_contact_ms,both_end_bridge_ms,near_zero_threshold_mm_s,contact_force_threshold_N
S1,FAST_PLANAR_15HZ_A12_FORWARD,44.25548683439249,0.999999000001,0.5322005599737167,0,-12.927752006598949,12.954697202189944,0.013169536002035149,0,0.0,0.0,1.0,1e-08
S2,FAST_PLANAR_20HZ_A12_FORWARD,25.10589003233805,0.9999986666684444,0.5322005599737167,0,-13.297807829824395,13.256884474214363,0.005679341459813241,0,0.0,0.0,1.0,1e-08
S3,FAST_PLANAR_20HZ_A14P343_FORWARD,24.633356133074372,0.9999986666684444,0.5322005599737167,0,-14.986937163047612,14.974278530273809,0.5746125224992129,25,0.8637011051177979,6.099999999999992,1.0,1e-08
S4,FAST_ELLIPTIC_20HZ_A14P343_X2P5_FORWARD,24.65233220638076,0.9999986666684444,0.5322005599737167,0,-15.544519026297507,14.712415444985432,0.18447884929918973,27,0.6952006369829178,1.2999999999999927,1.0,1e-08
