case,job,duration_ms,s_start_mm,s_end_mm,delta_s_mm,Vt_mean_mm_s,Vt_final_mm_s,Vt_min_mm_s,Vt_max_mm_s,positive_Vt_fraction,precontact_mean_Vt_mm_s,Ft_mean_uN,Ft_min_uN,Ft_max_uN,Jmag_t_Ns,contact_onset_ms,CPRESS_max_MPa,CPRESS_peak_time_ms,min_gap_um,gap_time_ms,UR1_pp_rad,UR2_pp_rad,UR3_pp_rad,max_abs_axis_angle_deg
G6_L45,WobbleCal_F30_Cone30_B10_Grad6Forward_WallOn_Free_003,3.000000026077,13.814214119926389,13.497447083509444,-0.3167670364169446,-110.29240931029734,-250.93869388542558,-250.93869388542558,0.0,0.0,-2.8722134361426983,5.738406866386683,3.616350086833513,7.871011356556878,1.6581801681953173e-08,1.3000426115468,0.4501559138298034,1.3000426115468,-0.5329466905074001,1.5000704443082,0.8471474647521973,0.4959879219532013,0.7033452689647675,29.42167574843427
Local_G6_L3p75,Wobble_F30_LocalForwardGradient_WallOn_Free_0083,8.3330003544688,13.814214119926389,11.938640317218582,-1.875573802707807,-224.1481768277101,-283.1547073272204,-324.4070521390255,7.980212371044799,0.12941176470588237,-0.7484514734909072,183.23985770596957,32.10319796431655,452.3954267879,1.5114930546666127e-06,1.4000082155689,13.97852897644043,1.5000303974375,-5.4048796443144,1.5000303974375,2.1803243160247803,0.688329815864563,1.4151552468538284,32.302971453604385
