case,delta_p_t_Ns,Jmag_t_Ns,magnetic_only_residual_Ns,residual_over_delta_p
G6_L45,-2.509386938854256e-06,1.6581801681953173e-08,-2.5259687405362093e-06,-1.0066079094559743
Local_G6_L3p75,-2.8315470732722045e-06,1.5114930546666127e-06,-4.343040127938818e-06,-1.533804671281659
