episode,start_s,end_s,duration_ms,region,minimum_gap_mm,HEAD_min_gap_mm,TAIL_min_gap_mm,BODY_min_gap_mm,peak_contact_force_N,reopen_after_episode
1,0.010031700134277344,0.010033000260591507,0.0014007091522216797,TAIL,0.0007095309708771147,0.04978063220967599,0.0007095309708771147,0.035322713173285614,0.3233532302017962,True
2,0.011309400200843811,0.011310799978673458,0.0015003606677055359,HEAD+BODY,0.00020663010190835607,0.018997851632987173,0.03296325642555087,0.00020663010190835607,0.23297664968999493,True
3,0.012277700006961823,0.01227909978479147,0.0015003606677055359,HEAD+BODY,-6.727485409974143e-06,0.017168025992340796,0.04075027524698449,-6.727485409974143e-06,0.11429129225419479,True
4,0.013245799578726292,0.013247200287878513,0.0015012919902801514,HEAD+BODY,7.671623885940893e-05,0.016337017822426803,0.028991820129525836,7.671623885940893e-05,0.14115538591699675,True
5,0.015019300393760204,0.015020599588751793,0.0013997778296470642,TAIL,3.279669869149515e-05,0.042878521517504264,3.279669869149515e-05,0.02941691491033549,0.09561776697006187,True
6,0.028566699475049973,0.028567999601364136,0.0014007091522216797,HEAD+BODY,0.00015963101095617382,0.018603883024235546,0.15784725865975968,0.00015963101095617382,0.21053718138740588,True
7,0.030418699607253075,0.030420100316405296,0.0015012919902801514,HEAD+BODY,0.0001801318216138048,0.01614361660233865,0.2207069648730171,0.0001801318216138048,0.29948509043476357,True
8,0.031698599457740784,0.031700000166893005,0.0015012919902801514,HEAD+BODY,7.60089838258704e-06,0.017161815445773887,0.11608201814166952,7.60089838258704e-06,0.13093573668737096,True
9,0.03384710103273392,0.03384840115904808,0.0014007091522216797,TAIL,3.190349220671962e-05,0.07310244202252847,3.190349220671962e-05,0.06107450794941571,0.24219104705748046,True
10,0.03481369838118553,0.034814998507499695,0.0014007091522216797,TAIL,0.0003146822269339822,0.11641842343510544,0.0003146822269339822,0.06104530715566847,0.2162015166063816,True
