time_s,normalized_phase,alpha_B_deg,B_T,B_c_T,B_n_rock_T,B_b_rock_T,T_rock_Nmm,Bx_T,By_T,Bz_T
0.0,0.0,1.3977046940025216e-15,0.01,0.010000000000000002,2.439454888092385e-19,-8.673617379884035e-19,0.0,0.009762799602464314,-0.0006183202474468873,0.0020749515641864673
0.0002,0.001,0.06283143965558873,0.01,0.009999993987172877,1.0966152759661667e-05,0.0,1.2404118735635202e-06,0.009763645906613739,-0.000607413294049639,0.0020741908543999914
0.0004,0.002,0.12566039883352548,0.01,0.009999975949648226,2.1931859407827906e-05,-8.673617379884035e-19,8.396463430252658e-06,0.009764480436624836,-0.0005965060408290911,0.0020734276804425227
0.0006000000000000001,0.003,0.18848439715408102,0.010000000000000004,0.009999945890296073,3.28966738553156e-05,-8.673617379884035e-19,2.3184902780408386e-05,0.00976530316063418,-0.0005855989316286076,0.002072662073803536
0.0008,0.004,0.2513009544333741,0.009999999999999998,0.009999903813899258,4.386015005756474e-05,0.0,4.274215421806967e-05,0.009766114048649258,-0.0005746924103654446,0.002071894066366313
0.001,0.005,0.3141075907812826,0.01,0.009999849727152689,5.482184203694311e-05,-8.673617379884035e-19,5.9625482717952496e-05,0.009766913072549472,-0.0005637869210085215,0.0020711236904062463
0.0012000000000000001,0.006,0.3769018266993458,0.01,0.009999783638662217,6.578130390504357e-05,-8.673617379884035e-19,7.154524279775797e-05,0.009767700206086772,-0.0005528829075561747,0.0020703509785890612
0.0014,0.006999999999999999,0.4396811831786508,0.01,0.009999705558943263,7.673808988497113e-05,0.0,8.346209252070439e-05,0.009768475424886049,-0.0005419808140139065,0.0020695759639689864
0.0016,0.008,0.5024431817976962,0.009999999999999998,0.009999615500419098,8.769175433361666e-05,0.0,9.53755471952069e-05,0.009769238706445183,-0.0005310810843721265,0.002068798679986853
0.0018000000000000002,0.009000000000000001,0.5651853448202453,0.009999999999999998,0.009999513477418816,9.864185176391724e-05,-4.336808689942018e-19,0.0001072851222993997,0.009769990030134807,-0.0005201841625838867,0.0020680191604681365
0.002,0.01,0.6279051952931335,0.01,0.00999939950617502,0.00010958793686709559,-4.336808689942018e-19,0.0001191903335053243,0.009770729377197753,-0.0005092904925426199,0.002067237439620933
0.0022,0.011,0.6906002571440578,0.01,0.009999273604821154,0.00012052956453488092,-8.673617379884035e-19,0.00013109069670309975,0.009771456730748198,-0.000498400518059874,0.0020664535520338694
