theta_rock_deg,HEAD_gap_um,TAIL_gap_um,BODY_gap_um,minimum_exact_surface_gap_um,both_end_support_possible_at_centered_COM
-10.0,116.13234554111696,69.19815857646394,94.98625605066502,69.19815857646394,False
-7.5,158.6268873057599,115.59432110580047,134.97847020999444,115.59432110580047,False
-5.0,199.736916043303,163.02682094117037,175.9701228458133,163.02682094117037,False
0.0,278.2446421904449,259.8460336129725,259.84603359907874,259.84603359907874,False
5.0,192.29722292484703,163.02682093895382,175.97012284709857,163.02682093895382,False
7.5,149.5291387638421,115.59432110377132,134.97847021108367,115.59432110377132,False
10.0,107.740565948797,69.19815857462596,94.98625605155675,69.19815857462596,False
