time_s,normalized_phase,theta_rock_deg,theta_cross_deg,alpha_B_deg,q_rock,q_cross,HEAD_gap_um,TAIL_gap_um,BODY_gap_um,minimum_gap_um,closest_region,T_rock_Nmm,contact_state,peak_normal_force_in_bin_N,peak_tangential_force_in_bin_N,peak_resultant_force_in_bin_N,CFN1_N,CFN2_N,CFN3_N,CFS1_N,CFS2_N,CFS3_N,CFT1_N,CFT2_N,CFT3_N,closest_normal_closing_velocity_mm_s,closest_tangential_velocity_mm_s,com_x,com_y,com_z,axis_x,axis_y,axis_z,ur1,ur2,ur3,s_mm,COM_radial_mm
0.0,0.0,3.583314024814096e-15,4.651423956862221e-16,4.506021514715944e-05,6.254062786589576e-17,8.118266295338845e-18,278.24464219236586,259.84603361185526,259.8460335987569,259.8460335987569,BODY,2.5659087712881904e-16,FREE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.468174204284,-3.676918015967,-9.550745259298,0.9762799602464296,-0.0618320247446977,0.2074951564186524,0.0,0.0,0.0,0.0,0.0
9.940000018104911e-05,0.0004970000009052455,1.5422640415778043e-06,3.4809215007526343e-12,0.044789780026527615,2.6917585460647407e-08,6.075354119159573e-14,278.2446308426547,259.84601431948965,259.84601678522097,259.84601431948965,TAIL,2.3639405273734345e-07,FREE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009616720291160497,0.001241187442800667,-7.468174204287854,-3.6769180160116925,-9.550745259294962,0.9762799623381694,-0.061831997973330895,0.20749515455453119,-5.435265126862987e-09,2.253651265604617e-09,2.6266620878345748e-08,-3.686728641631118e-13,4.49597556826814e-11
0.00019880000036209822,0.000994000001810491,4.7064398760004965e-05,1.0614943953805645e-10,0.08957912251361418,8.214287188335308e-07,1.852657219085109e-12,278.24429583971806,259.84544475383166,259.84552002963784,259.84544475383166,TAIL,1.7518058890979725e-06,FREE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014521573380962192,0.018742356105140762,-7.468174204401604,-3.6769180173308316,-9.55074525920532,0.9762800240785486,-0.06183120777802889,0.20749509953225104,-1.6586491824455152e-07,6.877340297251067e-08,8.015636012714822e-07,-1.1255954054860978e-11,1.3719805408462306e-09
0.0002982000005431473,0.0014910000027157366,0.00033988186857343246,7.663558357367988e-10,0.1343675907356404,5.932057674402248e-06,1.3375432575244627e-11,278.2421409613329,259.84178107083505,259.8423246918501,259.84178107083505,TAIL,5.44479221313549e-06,FREE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06908556664166073,0.08916586454080253,-7.468174205133256,-3.6769180258158762,-9.550745258628709,0.9762804212038414,-0.06182612490937873,0.20749474560272557,-1.1978156635450432e-06,4.966563551533909e-07,5.788599082734436e-06,-8.126091150234128e-11,9.907721617499816e-09
0.00039760000072419643,0.001988000003620982,0.0013573891683122646,3.0602408599107537e-09,0.17915474824205074,2.369091021574037e-05,5.3411278894516404e-11,278.2346530183897,259.829050222423,259.83122129061263,259.829050222423,TAIL,1.1772436048525704e-05,FREE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20406170146495223,0.26337560979737956,-7.468174207675264,-3.676918055299665,-9.550745256625037,0.9762818009706752,-0.06180846250817576,0.20749351569586502,-4.783727035828633e-06,1.9835008515656227e-06,2.311797834408935e-05,-3.2417818475296814e-10,3.956764908810901e-08
0.0004970000009052455,0.0024850000045262277,0.003909274859031041,8.770740403484892e-09,0.2239401582435961,6.82297176025906e-05,1.53078297522195e-10,278.21587351474903,259.79712175778116,259.8033744300001,259.79712175778116,TAIL,2.07043398299786e-05,FREE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.46237897937205574,0.5967865613508575,-7.468174214048135,-3.6769181292424262,-9.550745251599533,0.9762852600409474,-0.061764165512882004,0.20749043082821153,-1.3777113963442389e-05,5.712474830943393e-06,6.657967605860904e-05,-9.310862559245685e-10,1.1395200749694675e-07
0.0005964000010862947,0.0029820000054314733,0.009133263379677995,2.0397965965394056e-08,0.2687233843737203,0.0001594055167521205,3.560116622827207e-10,278.17743022656225,259.73176169319646,259.746369859999,259.73176169319646,TAIL,3.168086144280811e-05,FREE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8822498771974358,1.138745577774518,-7.468174227083652,-3.6769182806075333,-9.550745241309938,0.9762923350953082,-0.06167348434701599,0.20748411448264933,-3.218755591660738e-05,1.3346093510335777e-05,0.0001555505150463432,-2.16314778543562e-09,2.6622044853247063e-07
0.0006958000012673438,0.003479000006336719,0.018423565278162187,4.0872532127495156e-08,0.31350398986482686,0.00032155186851886,7.133602223727949e-10,278.1090643157831,259.61552912852375,259.6449966545124,259.61552912852375,TAIL,4.361647048096537e-05,FREE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4885662740671854,1.9214471784271148,-7.468174250231761,-3.67691854978798,-9.550745223004446,0.9763048972687216,-0.06151221637775398,0.20747287727654357,-6.492855027318001e-05,2.69216707238229e-05,0.00031377558480016887,-4.319909899165998e-09,5.37005210537069e-07
0.0007952000014483929,0.003976000007241964,0.033292689339036924,7.305908762666981e-08,0.3582815383755134,0.0005810670131113356,1.2751214123231048e-09,277.9996482860513,259.4087353232427,259.4772678102262,259.4087353232427,TAIL,5.497982428868882e-05,FREE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.940582816394729,2.3828013922974325,-7.468174287189963,-3.676918980602774,-9.550745193688508,0.976324949606274,-0.06125410370165316,0.20745488077173274,-0.00011733049905160442,4.864939546678215e-05,0.0005670147365890443,-7.680395569334632e-09,9.703819824643205e-07
0.000894600001629442,0.00447300000814721,0.05517715885051935,1.1965939492434413e-07,0.4030555932530904,0.0009630229449840664,2.0884494539455353e-09,277.83861712618506,259.05641294590396,259.1699943343764,259.05641294590396,TAIL,6.397330609240375e-05,FREE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.179543574284066,3.387678587434668,-7.4681743413837465,-3.6769196146691696,-9.550745150500179,0.9763543431575129,-0.06087420435751779,0.2074283679762747,-0.00019445600628387183,8.062842971412465e-05,0.0009397336980327964,-1.2421722316512415e-08,1.6082063408321991e-06
0.000994000001810491,0.004970000009052455,0.08521001006997785,1.8223057431227416e-07,0.4478257181227721,0.001487194683161441,3.1805200022891335e-09,277.61764383812925,258.57297044887736,258.7483741059993,258.57297044887736,TAIL,6.880537692477533e-05,FREE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.56435760109739,4.511820246301814,-7.468174415365939,-3.6769204848126504,-9.55074509115123,0.9763944491298164,-0.06035284026591213,0.20739193422194555,-0.0003002981247846037,0.00012451448128558695,0.0014512294437736273,-1.853170191213926e-08,2.4834823018617265e-06
0.0010933999437838793,0.005466999718919396,0.1240121150120999,2.5867852031040715e-07,0.4925914503752064,0.0021644180293759947,4.514781308356273e-09,277.3321756405568,257.9034367913845,258.1982434941184,257.9034367913845,TAIL,6.996519768630337e-05,FREE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.088625155401479,4.234829325831644,-7.468174510282981,-3.6769216090219983,-9.55074501433535,0.9764458684027895,-0.05967921921670636,0.20734477778040805,-0.00043704500421881676,0.00018121491302736104,0.0021120761521160603,-2.574624403153613e-08,3.6142804855715568e-06
0.0011928000021725893,0.0059640000108629465,0.1717535716647958,3.505984830310419e-07,0.537352431704544,0.002997660838110594,6.119070388310861e-09,276.9809820842975,257.0163777820106,257.4246774401608,257.0163777820106,TAIL,6.940140275470827e-05,FREE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.757143318464694,5.114912378047244,-7.468174626035991,-3.676922992228607,-9.550744919608805,0.9765085193419126,-0.05885036969854914,0.20728662677319404,-0.0006052959943190217,0.0002509783080313355,0.0029251708183437586,-3.357182424809551e-08,5.005528544233584e-06
0.0012921999441459775,0.0064609997207298875,0.2283616794865238,4.5290188875453934e-07,0.5821081209357246,0.003985652640049413,7.904566362813941e-09,276.34325295008955,255.96488847037284,256.50775903698997,255.96488847037284,TAIL,6.715374928989277e-05,FREE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.39032650051875,5.980114711351969,-7.46817476181329,-3.6769246323345,-9.550744806983461,0.9765819274179239,-0.05786753148437448,0.20721748922472258,-0.0008047948940657079,0.00033369858283549547,0.003889275249093771,-4.13481985983984e-08,6.655076000581894e-06
0.0013916000025346875,0.006958000012673438,0.2935485462652703,5.633145324987497e-07,0.6268581867801772,0.005123366232734881,9.831564280112338e-09,275.17364124524977,254.7544760863697,255.45231083401782,254.7544760863697,TAIL,6.32767867095374e-05,FREE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.948266947924909,6.809939797975661,-7.46817491618734,-3.6769265210112065,-9.55074467687834,0.9766652793239388,-0.05673567770235389,0.20713762342642436,-0.0010345272021368146,0.0004289551579859108,0.004999486263841391,-4.8283602189585716e-08,8.554499674211912e-06
