theta_deg,W_mm,tube_ID_minus_W_mm
0.0,0.815,0.5196904800016546
0.1,0.8191875467624854,0.5155029332391692
0.2,0.8233725981376361,0.5113178818640185
0.30000000000000004,0.8275551413770598,0.5071353386245948
0.4,0.8317351637400043,0.5029553162616502
0.5,0.8359126524933971,0.4987778275082575
0.6000000000000001,0.8400875949118822,0.49460288508977235
0.7000000000000001,0.8442599782778615,0.4904305017237931
0.8,0.8484297898815316,0.48626069012012296
0.9,0.8525970170209229,0.48209346298073164
1.0,0.8567616470019394,0.4779288329997152
1.1,0.8609236671383952,0.4737668128632594
1.2000000000000002,0.8650830647520558,0.4696074152495988
1.3,0.8692398271726743,0.46545065282898024
1.4000000000000001,0.8733939417380318,0.4612965382636228
1.5,0.8775453957939747,0.45714508420767985
1.6,0.881694176694454,0.45299630330720053
1.7000000000000002,0.8858402718015638,0.4488502082000908
1.8,0.8899836684855791,0.4447068115160755
1.9000000000000001,0.8941243541249952,0.44056612587665933
2.0,0.8982623161065654,0.4364281638950892
2.1,0.9023975418253398,0.43229293817631476
2.2,0.9065300186847041,0.4281604613169505
2.3000000000000003,0.9106597340964168,0.4240307459052378
2.4000000000000004,0.9147866754806486,0.41990380452100595
2.5,0.9189108302660204,0.4157796497356342
2.6,0.9230321858896415,0.41165829411201305
2.7,0.9271507297971479,0.4075397502045067
2.8000000000000003,0.9312664494427405,0.40342403055891407
2.9000000000000004,0.9353793322892238,0.3993111477124308
3.0,0.9394893658080428,0.3952011141936118
3.1,0.9435965374793231,0.39109394252233143
3.2,0.9477008347919076,0.386989645209747
3.3000000000000003,0.9518022452433945,0.38288823475826006
3.4000000000000004,0.9559007563401766,0.378789723661478
3.5,0.959996355597478,0.3746941244041766
3.6,0.9640890305393934,0.37060144946226115
3.7,0.968178768698925,0.3665117113027295
3.8000000000000003,0.972265557618021,0.36242492238363355
3.9000000000000004,0.9763493848476139,0.35834109515404067
4.0,0.9804302379476574,0.3542602420539972
4.1000000000000005,0.9845081044871655,0.35018237551448905
4.2,0.9885829720442493,0.3461075079574053
4.3,0.9926548282061557,0.3420356517954989
4.4,0.9967236605693047,0.33796681943234985
4.5,1.000789456739327,0.3339010232623276
4.6000000000000005,1.0048522043311028,0.3298382756705518
4.7,1.008911890968798,0.3257785890328566
4.800000000000001,1.0129685042859031,0.32172197571575145
4.9,1.0170220319252705,0.31766844807638406
5.0,1.0210724615391522,0.31361801846250237
5.1000000000000005,1.0251197807892367,0.30957069921241787
5.2,1.029163977346688,0.3055265026549665
5.300000000000001,1.0332050388921823,0.3014854411094723
5.4,1.0372429531159446,0.29744752688570997
5.5,1.0412777077177884,0.2934127722838662
5.6000000000000005,1.045309290407151,0.28938118959450354
5.7,1.0493376889031332,0.2853527910985214
5.800000000000001,1.0533628909345336,0.28132758906712096
5.9,1.0573848842398892,0.2773055957617654
6.0,1.061403656567511,0.2732868234341437
6.1000000000000005,1.0654191956755215,0.2692712843261331
6.2,1.0694314893318917,0.2652589906697629
6.300000000000001,1.07344052531448,0.2612499546871745
6.4,1.0774462914110672,0.2572441885905874
6.5,1.0814487754193949,0.2532417045822597
6.6000000000000005,1.0854479651472029,0.2492425148544517
6.7,1.0894438484122657,0.24524663158938886
6.800000000000001,1.0934364130424299,0.2412540669592247
6.9,1.0974256468756511,0.23726483312600344
7.0,1.1014115377600313,0.23327894224162327
7.1000000000000005,1.1053940735538557,0.22929640644779892
7.2,1.1093732421256295,0.2253172378760251
7.300000000000001,1.1133490313541152,0.22134144864753935
7.4,1.1173214291283693,0.21736905087328529
7.5,1.1212904233477792,0.2134000566538754
7.6000000000000005,1.1252560019221003,0.2094344780795543
7.7,1.1292181527714924,0.20547232723016218
7.800000000000001,1.1331768638265571,0.20151361617509744
7.9,1.1371321230283735,0.19755835697328106
8.0,1.1410839183285368,0.19360656167311774
8.1,1.1450322376891928,0.18965824231246176
8.200000000000001,1.1489770690830758,0.18571341091857874
8.3,1.1529184004935458,0.1817720795081088
8.4,1.1568562199146233,0.1778342600870313
8.5,1.1607905153510276,0.17389996465062696
8.6,1.1647212748182125,0.16996920518344205
8.700000000000001,1.1686484863424031,0.16604199365925143
8.8,1.1725721379606318,0.16211834204102282
8.9,1.1764922177207755,0.15819826228087908
9.0,1.1804087136815913,0.1542817663200633
9.1,1.1843216139127533,0.15036886608890132
9.200000000000001,1.1882309064948888,0.14645957350676575
9.3,1.1921365795196146,0.14255390048203997
9.4,1.1960386210895733,0.13865185891208132
9.5,1.19993701931847,0.1347534606831846
9.600000000000001,1.203831762331107,0.13085871767054758
9.700000000000001,1.2077228382634217,0.12696764173823283
9.8,1.2116102352625224,0.12308024473913215
9.9,1.2154939414867236,0.11919653851493095
10.0,1.2193739451055823,0.1153165348960723
10.100000000000001,1.2232502342999347,0.11144024570171984
10.200000000000001,1.227122797261932,0.1075676827397225
10.3,1.2309916221950754,0.10369885780657917
10.4,1.2348566973142534,0.09983378268740117
10.5,1.238718010845777,0.09597246915587765
10.600000000000001,1.2425755510274152,0.09211492897423934
10.700000000000001,1.2464293061084317,0.08826117389322286
10.8,1.2502792643496203,0.08441121565203424
10.9,1.2541254140233407,0.08056506597831392
11.0,1.2579677434135537,0.07672273658810091
11.100000000000001,1.2618062408158575,0.07288423918579712
11.200000000000001,1.265640894537524,0.06904958546413065
11.3,1.269471692897532,0.06521878710412254
11.4,1.273298624226606,0.061391855775048576
11.5,1.2771216768672493,0.057568803134405266
11.600000000000001,1.2809408391737807,0.053749640827873923
11.700000000000001,1.284756099512369,0.04993438048928556
11.8,1.28856744626107,0.046123033740584685
11.9,1.2923748678098603,0.04231561219179425
12.0,1.296178352560674,0.03851212744098054
12.100000000000001,1.2999778889274363,0.03471259107421831
12.200000000000001,1.3037734653361008,0.030917014665553744
12.3,1.3075650702246837,0.027125409776970866
12.4,1.3113526920432985,0.02333778795835606
12.5,1.3151363192541927,0.019554160747461857
12.600000000000001,1.3189159403317814,0.01577453966987319
12.700000000000001,1.3226915437626832,0.011998936238971414
12.8,1.3264631180457553,0.008227361955899237
12.9,1.330230651692129,0.004459828309525626
13.0,1.3339941332252425,0.0006963467764120601
13.100000000000001,1.337753551180879,-0.0030630711792243304
13.200000000000001,1.3415088941071993,-0.0068184141055447345
13.3,1.3452601505647774,-0.010569670563122857
13.4,1.3490073091266357,-0.014316829124981112
13.5,1.3527503583782794,-0.018059878376624816
13.600000000000001,1.3564892869177312,-0.021798806916076607
13.700000000000001,1.3602240833555665,-0.02553360335391197
13.8,1.3639547363149473,-0.02926425631329277
13.9,1.3676812344316582,-0.032990754430003655
14.0,1.3714035663541395,-0.036713086352484936
14.100000000000001,1.3751217207435227,-0.0404312407418681
14.200000000000001,1.3788356862736642,-0.044145206272009574
14.3,1.3825454516311817,-0.04785497162952712
14.4,1.3862510055154857,-0.05156052551383117
14.5,1.3899523366388171,-0.05526185663716254
14.600000000000001,1.3936494337262793,-0.058958953724624674
14.700000000000001,1.3973422855158733,-0.06265180551421867
14.8,1.4010308807585317,-0.06634040075687708
14.9,1.4047152082181542,-0.07002472821649963
15.0,1.4083952566716404,-0.07370477666998587
15.100000000000001,1.4120710149089244,-0.07738053490726982
15.200000000000001,1.4157424717330092,-0.08105199173135458
15.3,1.4194096159600003,-0.08471913595834568
15.4,1.4230724364191407,-0.08838195641748614
15.5,1.426730921952844,-0.09204044195118932
15.600000000000001,1.430385061416729,-0.09569458141507448
15.700000000000001,1.4340348436796528,-0.09934436367799826
15.8,1.437680257623746,-0.10298977762209138
15.9,1.441321292144445,-0.10663081214279035
16.0,1.4449579361505278,-0.11026745614887323
16.1,1.448590178564146,-0.11389969856249138
16.2,1.452218008320859,-0.11752752831920432
16.3,1.455841414369668,-0.1211509343680135
16.400000000000002,1.4594603856730504,-0.12476990567139579
16.5,1.4630749112069916,-0.12838443120533705
16.6,1.46668497996102,-0.1319944999593654
16.7,1.4702905809382403,-0.1356001009365857
16.8,1.4738917031553667,-0.13920122315371208
16.900000000000002,1.477488335642756,-0.14279785564110137
17.0,1.4810804674444422,-0.14638998744278764
17.1,1.4846680876181686,-0.14997760761651402
17.2,1.4882511852354219,-0.1535607052337673
17.3,1.4918297493814663,-0.1571392693798117
17.400000000000002,1.4954037691553737,-0.16071328915371907
17.5,1.4989732336700605,-0.16428275366840595
17.6,1.5025381320523186,-0.167847652050664
17.7,1.5060984534428492,-0.17140797344119463
17.8,1.5096541869962965,-0.17496370699464192
17.900000000000002,1.513205321881279,-0.17851484187962452
18.0,1.5167518472804238,-0.1820613672787692
18.1,1.5202937523904,-0.18560327238874552
18.2,1.52383102642195,-0.18914054642029532
18.3,1.5273636585999233,-0.1926731785982687
18.400000000000002,1.5308916381633106,-0.19620115816165606
18.5,1.5344149543652734,-0.19972447436361884
18.6,1.5379335964731802,-0.2032431164715256
18.7,1.5414475537686365,-0.20675707376698194
18.8,1.544956815547519,-0.2102663355458645
18.900000000000002,1.548461371120008,-0.21377089111835335
19.0,1.5519612098106192,-0.21727072980896467
19.1,1.5554563209582368,-0.22076584095658225
19.200000000000003,1.5589466939161467,-0.22425621391449213
19.3,1.5624323180520672,-0.2277418380504126
19.400000000000002,1.5659131827481827,-0.23122270274652812
19.5,1.5693892774011755,-0.23469879739952093
19.6,1.5728605914222586,-0.23817011142060407
19.700000000000003,1.5763271142372082,-0.2416366342355536
19.8,1.5797888352863931,-0.24509835528473856
19.900000000000002,1.5832457440248118,-0.2485552640231572
20.0,1.5866978299221202,-0.2520073499204656
