theta_rock_deg,HEAD_gap_um,TAIL_gap_um,BODY_gap_um,overall_gap_um
-14.848755976024265,36.70638024301276,-17.504421999128606,20.553415434453328,-17.504421999128606
-14.83019503105443,37.00234231975319,-17.181386739210435,20.829946245420228,-17.181386739210435
-14.811634086084593,37.29836920810381,-16.85828041195181,21.106544134691596,-16.85828041195181
-14.793073141114759,37.59446087699947,-16.53510305125949,21.38320907324176,-16.53510305125949
-14.774512196144922,37.8906172953668,-16.211854691049243,21.659941032035057,-16.211854691049243
-14.755951251175087,38.186838432126116,-15.888535365242928,21.936739982031273,-15.888535365242928
-14.737390306205251,38.48312425619138,-15.565145107771293,22.213605894181974,-15.565145107771293
-14.718829361235416,38.779474736469254,-15.24168395257275,22.490538739431965,-15.24168395257275
-14.70026841626558,39.0758898418595,-14.918151933590917,22.767538488719154,-14.918151933590917
-14.681707471295745,39.372369541255445,-14.594549084779196,23.04460511297335,-14.594549084779196
-14.66314652632591,39.668913803543205,-14.27087544009764,23.32173858311881,-14.27087544009764
-14.644585581356074,39.96552259760311,-13.947131033513305,23.598938870072807,-13.947131033513305
-14.626024636386239,40.26219589230728,-13.623315899000676,23.876205944744378,-13.623315899000676
-14.607463691416402,40.5589336565223,-13.299430070543018,24.153539778036247,-13.299430070543018
-14.588902746446568,40.85573585910795,-12.975473582129581,24.430940340844252,-12.975473582129581
-14.570341801476731,41.152602468915944,-12.651446467756845,24.70840760405668,-12.651446467756845
-14.551780856506896,41.449533454791855,-12.327348761430269,24.98594153855549,-12.327348761430269
-14.53321991153706,41.74652878557639,-12.00318049716087,25.263542115215976,-12.00318049716087
-14.514658966567225,42.043588430100144,-11.678941708968438,25.541209304904445,-11.678941708968438
-14.49609802159739,42.34071235718972,-11.354632430879752,25.818943078482647,-11.354632430879752
-14.477537076627554,42.63790053566363,-11.03025269692781,26.09674340680346,-11.03025269692781
-14.45897613165772,42.93515293433414,-10.705802541156162,26.374610260714416,-10.705802541156162
-14.440415186687883,43.232469522005324,-10.38128199761157,26.652543611054625,-10.38128199761157
-14.421854241718048,43.52985026747791,-10.056691100352122,26.930543428657415,-10.056691100352122
-14.403293296748211,43.8272951395422,-9.732029883439463,27.208609684347795,-9.732029883439463
-14.384732351778377,44.12480410698383,-9.40729838094645,27.486742348945214,-9.40729838094645
-14.36617140680854,44.422377138581545,-9.082496626951597,27.764941393261132,-9.082496626951597
-14.347610461838705,44.72001420310623,-8.757624655539086,28.043206788100573,-8.757624655539086
-14.32904951686887,45.017715269323965,-8.432682500802645,28.321538504261223,-8.432682500802645
-14.310488571899034,45.315480305991414,-8.107670196843554,28.599936512534452,-8.107670196843554
-14.2919276269292,45.613309281861916,-7.782587777769301,28.87840078370396,-7.782587777769301
-14.273366681959363,45.91120216567912,-7.457435277694269,29.15693128854635,-7.457435277694269
-14.254805736989528,46.209158926181715,-7.132212730742826,29.435527997832665,-7.132212730742826
-14.236244792019692,46.50717953210015,-6.806920171043007,29.714190882324854,-6.806920171043007
-14.217683847049857,46.80526395216089,-6.481557632733392,29.992919912780415,-6.481557632733392
-14.19912290208002,47.10341215508051,-6.156125149957781,30.27171505994786,-6.156125149957781
-14.180561957110186,47.401624109570385,-5.830622756868742,30.550576294570032,-5.830622756868742
-14.162001012140351,47.699899784336196,-5.505050487625174,30.829503587380568,-5.505050487625174
-14.143440067170514,47.998239148074994,-5.179408376394412,31.108496909110105,-5.179408376394412
-14.12487912220068,48.29664216947849,-4.853696457349566,31.387556230478953,-4.853696457349566
-14.106318177230843,48.59510881723039,-4.527914764673291,31.666681522201866,-4.527914764673291
-14.087757232261009,48.89363906001021,-4.202063332552242,31.945872754986947,-4.202063332552242
-14.069196287291172,49.19223286648777,-3.8761421951835073,32.2251298995343,-3.8761421951835073
-14.050635342321337,49.49089020532871,-3.5501513867697287,32.50445292653803,-3.5501513867697287
-14.0320743973515,49.78961104518942,-3.2240909415226504,32.78384180668503,-3.2240909415226504
-14.013513452381666,50.088395354722984,-2.897960893659124,33.06329651065543,-2.897960893659124
-13.994952507411831,50.38724310257281,-2.5717612774049936,33.34281700912245,-2.5717612774049936
-13.976391562441995,50.68615425737699,-2.245492126991433,33.622403272751455,-2.245492126991433
-13.95783061747216,50.98512878776673,-1.9191534766603846,33.90205527220247,-1.9191534766603846
-13.939269672502324,51.28416666236735,-1.5927453606565667,34.18177297812797,-1.5927453606565667
-13.920708727532489,51.58326784979561,-1.2662678132360217,34.46155636117321,-1.2662678132360217
-13.902147782562652,51.88243231866396,-0.9397208686605651,34.74140539197634,-0.9397208686605651
-13.883586837592818,52.18166003757663,-0.6131045611974528,35.02132004116998,-0.6131045611974528
-13.865025892622981,52.48095097513128,-0.2864189251238214,35.301300279377834,-0.2864189251238214
-13.846464947653146,52.780305099919936,0.040336005276864206,35.5813460772193,0.040336005276864206
-13.827904002683312,53.07972238052705,0.36716019571392255,35.86145740530433,0.36716019571392255
-13.809343057713475,53.37920278553043,0.6940536118884566,36.14163423423733,0.6940536118884566
-13.79078211274364,53.67874628350244,1.0210162194962402,36.42187653461515,1.0210162194962402
-13.772221167773804,53.97835284300812,1.3480479842246096,36.70218427702932,1.3480479842246096
-13.753660222803969,54.27802243260415,1.6751488717541285,36.98255743206247,1.6751488717541285
-13.735099277834133,54.57775502084383,2.002318847756701,37.2629959702917,2.002318847756701
-13.716538332864298,54.87755057627164,2.329557877897459,37.543499862286666,2.329557877897459
-13.697977387894461,55.17740906742552,2.65686592783676,37.824069078611245,2.65686592783676
-13.679416442924627,55.47733046283865,2.984242963225525,38.10470358982032,2.984242963225525
-13.660855497954792,55.77731473103509,3.3116889497070146,38.38540336646368,3.3116889497070146
-13.642294552984955,56.07736184053358,3.639203852917272,38.66616837908299,3.639203852917272
-13.62373360801512,56.377471759846976,3.9667876384864575,38.9469985982156,3.9667876384864575
-13.605172663045284,56.6776444574798,4.294440272037958,39.227893994388864,4.294440272037958
-13.58661171807545,56.97787990193148,4.62216171918528,39.508854538124915,4.62216171918528
-13.568050773105613,57.278178061694106,4.949951945536379,39.789880199939006,4.949951945536379
-13.549489828135778,57.57853890525322,5.277810916692771,40.07097095033896,5.277810916692771
-13.530928883165942,57.87896240108825,5.605738598247534,40.35212675982714,5.605738598247534
-13.512367938196107,58.17944851767187,5.933734955786307,40.63334759889736,5.933734955786307
-13.493806993226272,58.47999722346975,6.26179995488807,40.91463343803703,6.26179995488807
-13.475246048256436,58.78060848694133,6.589933561125028,41.19598424772797,6.589933561125028
-13.4566851032866,59.08128227653964,6.918135740062281,41.47739999844347,6.918135740062281
-13.438124158316764,59.382018560710684,7.246406457255605,41.758880660651585,7.246406457255605
-13.41956321334693,59.68281730789482,7.574745678256112,42.040426204811965,7.574745678256112
-13.401002268377093,59.9836784865242,7.903153368606919,42.322036601379345,7.903153368606919
-13.382441323407258,60.28460206502617,8.23162949384393,42.60371182079936,8.23162949384393
-13.363880378437422,60.58558801182112,8.560174019494603,42.885451833513,8.560174019494603
-13.345319433467587,60.88663629532143,8.888786911082303,43.167256609952574,8.888786911082303
-13.326758488497752,61.187746883935354,9.217468134119834,43.449126120545856,9.217468134119834
-13.308197543527916,61.48891974606252,9.546217654114786,43.73106033571161,9.546217654114786
-13.289636598558081,61.79015485009731,9.875035436566426,44.013059225863294,9.875035436566426
-13.271075653588245,62.091452164426684,10.203921446968799,44.29512276140613,10.203921446968799
-13.25251470861841,62.3928116574316,10.532875650806961,44.577250912740006,10.532875650806961
-13.233953763648573,62.694233297486576,10.861898013558523,44.859443650257624,10.861898013558523
-13.215392818678739,62.99571705295926,11.19098850069622,45.141700944343995,11.19098850069622
-13.196831873708902,63.297262892210824,11.520147077683118,45.42402276537882,11.520147077683118
-13.178270928739067,63.59887078359616,11.849373709976184,45.70640908373458,11.849373709976184
-13.159709983769233,63.90054069546392,12.178668363025169,45.988859869775524,12.178668363025169
-13.141149038799396,64.20227259615507,12.508031002274267,46.271375093861145,12.508031002274267
-13.122588093829561,64.50406645400541,12.83746159315835,46.553954726343605,12.83746159315835
-13.104027148859725,64.80592223734382,13.166960101103964,46.8365987375674,13.166960101103964
-13.08546620388989,65.1078399144922,13.496526491535654,47.119307097871044,13.496526491535654
-13.066905258920055,65.40981945376623,13.826160729865311,47.40207977758671,13.826160729865311
-13.048344313950219,65.7118608234758,14.155862781499827,47.684916747038564,14.155862781499827
-13.029783368980382,66.01396399192284,14.485632611841325,47.96781797654515,14.485632611841325
-13.011222424010548,66.3161289274038,14.815470186280933,48.250783436417755,14.815470186280933
-12.992661479040713,66.6183555982084,15.14537547020478,48.53381309696092,15.14537547020478
-12.974100534070876,66.9206439726211,15.475348428991786,48.81690692847307,15.475348428991786
-12.955539589101042,67.22299401891763,15.805389028012318,49.10006490124496,15.805389028012318
-12.936978644131205,67.52540570536847,16.135497232632858,49.38328698556083,16.135497232632858
-12.91841769916137,67.82787900023767,16.46567300820967,49.66657315169898,16.46567300820967
-12.899856754191536,68.13041387178254,16.79591632009214,49.94992336992976,16.79591632009214
-12.8812958092217,68.43301028825455,17.126227133625104,50.233337610518625,17.126227133625104
-12.862734864251863,68.73566821789767,17.456605414143066,50.516815843721915,17.456605414143066
-12.844173919282028,69.0383876289502,17.787051126976095,50.80035803979066,17.787051126976095
-12.825612974312193,69.34116848964355,18.117564237444927,51.083964168969544,18.117564237444927
-12.807052029342357,69.64401076820349,18.448144710865975,51.36763420149537,18.448144710865975
-12.788491084372522,69.94691443284773,18.778792512546882,51.6513681075994,18.778792512546882
-12.769930139402685,70.24987945178951,19.10950760778696,51.93516585750502,19.10950760778696
-12.75136919443285,70.55290579323392,19.44028996188052,52.219027421430475,19.44028996188052
-12.732808249463016,70.85599342538084,19.77113954011478,52.50295276958561,19.77113954011478
-12.71424730449318,71.15914231642384,20.102056307768844,52.78694187217492,20.102056307768844
