time_s,normalized_phase,theta_rock_deg,theta_cross_deg,alpha_B_deg,q_rock,q_cross,HEAD_gap_um,TAIL_gap_um,BODY_gap_um,minimum_gap_um,T_rock_Nmm,contact_state,com_x,com_y,com_z,axis_x,axis_y,axis_z,ur1,ur2,ur3,s_mm,COM_radial_mm,contact_force_N
0.0,0.0,3.583314024814096e-15,4.651423956862221e-16,3.1415927157241305e-05,6.254062786589576e-17,8.118266295338845e-18,278.24464219236586,259.84603361185526,259.8460335987569,259.8460335987569,1.788948476462272e-16,FREE,-7.468174204284,-3.676918015967,-9.550745259298,0.9762799602464296,-0.0618320247446977,0.2074951564186524,0.0,0.0,0.0,0.0,0.0,0.0
9.940000018104911e-05,0.0004970000009052455,1.0752646059906875e-06,2.428018158797348e-12,0.031227380032606146,1.8766907704697043e-08,4.2376911169224244e-14,278.2446342793619,259.8460201625118,259.84602188130566,259.8460201625118,1.6481365409685303e-07,FREE,-7.4681742042866865,-3.6769180159981594,-9.550745259295882,0.9762799617047881,-0.061832006079733486,0.20749515511898942,-3.789460301106828e-09,1.5712429135561479e-09,1.8313055960561542e-08,-2.570001267243827e-13,3.134567956367468e-11,0.0
0.00019880000036209822,0.000994000001810491,3.281324311376052e-05,7.402400974030885e-11,0.062454455012871155,5.726991305924461e-07,1.2919626954965305e-12,278.2444007157048,259.84562306199814,259.84567554388843,259.84562306199814,1.2213571870413184e-06,FREE,-7.468174204365994,-3.676918016917862,-9.550745259233382,0.9762800047501771,-0.06183145515650751,0.2074951167575358,-1.1564082313952895e-07,4.794873476043904e-08,5.588491944763518e-07,-7.847676875656557e-12,9.565434642032976e-10,0.0
0.0002982000005431473,0.0014910000027157366,0.00023696526931173972,5.339310260924103e-10,0.09368092045692018,4.1358241623531454e-06,9.318854383784615e-12,278.2428983365597,259.8430687455481,259.8434477572177,259.8430687455481,3.796104276695578e-06,FREE,-7.468174204876106,-3.6769180228336253,-9.550745258831371,0.9762802816290638,-0.061827911386156766,0.2074948699989992,-8.351158271580061e-07,3.462682798271999e-07,4.0358049773203675e-06,-5.6660814528306867e-11,6.907652708342734e-09,0.0
0.00039760000072419643,0.001988000003620982,0.000946370425073304,2.1342251650996904e-09,0.12490647207152998,1.651727986027641e-05,3.724925610482799e-11,278.2376777459949,259.83419280084104,259.83570646718556,259.83419280084104,8.207734822857272e-06,FREE,-7.468174206648483,-3.6769180433896897,-9.550745257434432,0.9762812436554436,-0.061815597179675524,0.2074940125206037,-3.335210067234584e-06,1.3828948794980533e-06,1.611783227417618e-05,-2.261156222949589e-10,2.7586526678979326e-08,0.0
0.0004970000009052455,0.0024850000045262277,0.0027255432681922626,6.1132692543140535e-09,0.15613080532832158,4.756970391758109e-05,1.066966764279981e-10,278.2245846614623,259.811932229326,259.816291587036,259.811932229326,1.4435058600288552e-05,FREE,-7.468174211092348,-3.676918094942482,-9.550745253930806,0.9762836557386256,-0.06178471337355749,0.20749186184275334,-9.605392733647022e-06,3.982732778240461e-06,4.64192962681409e-05,-6.499737536595428e-10,7.944724466794928e-08,0.0
0.0005964000010862947,0.0029820000054314733,0.006367705418642841,1.4224893667709899e-08,0.18735361599299777,0.00011113742512361534,2.482712287143655e-10,278.19778187722136,259.7663628745364,259.77654767888345,259.7663628745364,2.2087896206821808e-05,FREE,-7.468174220184273,-3.676918200473902,-9.550745246757666,0.9762885906017766,-0.06172149064588156,0.20748745854447936,-2.2441145119955763e-05,9.304887498728931e-06,0.00010844971984624863,-1.5126242434666074e-09,1.8560869475728603e-07,0.0
0.0006958000012673438,0.003479000006336719,0.012844901313274697,2.8579554397125354e-08,0.21857459955097705,0.00022418581813248405,4.988073104478117e-10,278.1501166459193,259.6853242447286,259.7058689903313,259.6853242447286,3.040941711299549e-05,FREE,-7.4681742363365435,-3.676918388145448,-9.550745233997944,0.9762973569820269,-0.061609055169795195,0.2074796256768219,-4.5268156100064516e-05,1.8769773305393755e-05,0.00021876419486943632,-3.0300701595791156e-09,3.7439961837249376e-07,0.0
0.0007952000014483929,0.003976000007241964,0.023211654947679558,5.102914640409179e-08,0.2497934517859355,0.0004051197925923248,8.906265461478922e-10,278.07383016768966,259.5556261462332,259.5927519932875,259.5556261462332,3.833196684592059e-05,FREE,-7.468174262144092,-3.67691868850667,-9.550745213567462,0.9763113616122819,-0.06142910052528736,0.2074670836432288,-8.18027911009267e-05,3.391833888599649e-05,0.00039532253867946565,-5.414293574303674e-09,6.765496032666623e-07,0.0
0.000894600001629442,0.00447300000814721,0.0384695089726805,8.332793627724481e-08,0.2810098682642214,0.0006714195427523074,1.4543465191170768e-09,277.96155514001794,259.3253892067212,259.40457814671515,259.3253892067212,4.4602240584690886e-05,FREE,-7.468174300029442,-3.6769191305706057,-9.55074518347818,0.9763319155802835,-0.06116423847809035,0.20744861183129137,-0.00013557470811065286,5.621411764877848e-05,0.0006551822298206389,-8.82391301376506e-09,1.1212400150902649e-06,0.0
0.000994000001810491,0.004970000009052455,0.059408422449904075,1.2690027110836636e-07,0.3122235447460645,0.0010368723893754495,2.2148263619287373e-09,277.80748357198166,258.98829735809477,259.1105888235981,258.98829735809477,4.7971169025058414e-05,FREE,-7.468174351830771,-3.6769197372192606,-9.550745142147166,0.9763600098420789,-0.06080075150694461,0.20742323832533036,-0.00020936787768732756,8.681146573508158e-05,0.0010117972269654274,-1.3310213163930721e-08,1.7314810280950395e-06,0.0
0.0010933999437838793,0.005466999718919396,0.08646127367429747,1.8064537814533943e-07,0.3434341587003036,0.0015090333283599815,3.15285303733081e-09,277.6084377465691,258.5528301591261,258.73080965878825,258.5528301591261,4.877979067349869e-05,FREE,-7.468174418432343,-3.6769205209887117,-9.550745088681753,0.9763961142650412,-0.060331118233590136,0.2073904149685158,-0.00030470784986391664,0.00012634298764169216,0.0014725399669259787,-1.8776127061285143e-08,2.5198711575053734e-06,0.0
0.0011928000021725893,0.0059640000108629465,0.11974664024670034,2.4424799607085125e-07,0.37464146031684087,0.0020899716190102367,4.262922412621191e-09,277.36355532766066,257.982703035304,258.2636162366308,257.982703035304,4.838669372368395e-05,FREE,-7.468174499875292,-3.676921485309573,-9.55074502279601,0.9764402378656685,-0.059753271026721004,0.2073499661886742,-0.0004220125265419483,0.00017498199304100126,0.0020394299644976854,-2.499036154336598e-08,3.4898453798308127e-06,0.0
0.0012921999441459775,0.0064609997207298875,0.1592138444367068,3.156161728647309e-07,0.40584507228856714,0.002778802223967283,5.5085201212249325e-09,277.0732216937763,257.24934800544605,257.62783811606295,257.24934800544605,4.6819598043253435e-05,FREE,-7.468174595726171,-3.6769226287108507,-9.550744944526345,0.9764921291928919,-0.05906807854890866,0.20730191441680607,-0.0005611032829619944,0.00023265449272003025,0.002711604116484523,-3.1628261733944636e-08,4.639904487645853e-06,0.0
0.0013916000025346875,0.006958000012673438,0.20466215869079937,3.928101245866414e-07,0.4370447636424037,0.0035720209272489117,6.855786271155735e-09,276.73892812277984,256.4050621919652,256.8915940093356,256.4050621919652,4.411653886195042e-05,FREE,-7.468174705138696,-3.676923945376326,-9.55074485419661,0.9765513104944805,-0.0582790129711894,0.20724645863950594,-0.0007212727796286345,0.0002990672364830971,0.003485643770545721,-3.829044284487571e-08,5.964175664898809e-06,0.0
0.0014909999445080757,0.007454999722540379,0.2557456832169154,4.733397777590596e-07,0.4682401567230589,0.0044635893979471835,8.26125530422575e-09,275.85185628447346,255.45635647900434,256.06432606979456,255.45635647900434,4.03429647191463e-05,FREE,-7.468174826885817,-3.6769254252833674,-9.550744752412614,0.9766170963507219,-0.057392066133821126,0.20718397105079334,-0.0009013019152916968,0.00037371483631432056,0.00435565784573555,-4.452438208511747e-08,7.452553416815996e-06,0.0
0.0015904000028967857,0.007952000014483929,0.3119817424305417,5.549125888917253e-07,0.4994310211973533,0.00544508170436896,9.684908160225354e-09,274.842996659711,254.41228421625567,255.1539400248514,254.41228421625567,3.559052342196588e-05,FREE,-7.468174959405846,-3.6769270544471295,-9.550744640051137,0.9766886199897366,-0.05641560477268885,0.20711499009167783,-0.0010994896292686462,0.0004558920336421579,0.005313425790518522,-4.985207425562129e-08,9.09094678805649e-06,0.0
0.001689799944870174,0.00844899972435087,0.372762532663374,6.315966186018402e-07,0.5306169789401216,0.006505887626852452,1.1023207244361483e-08,273.7530276473294,253.25730911742923,254.17036392478937,253.25730911742923,2.9974272760660644e-05,FREE,-7.46817510085967,-3.6769288152552475,-9.550744518242398,0.9767648658436034,-0.05536016937696906,0.2070402098629168,-0.0013136939378455281,0.0005447107832878828,0.006348595954477787,-5.380155407186382e-08,1.0861617899069877e-05,0.0
0.001789200003258884,0.00894600001629442,0.43736997973356256,7.023089847293836e-07,0.5617977999625906,0.007633472060184126,1.2257247020006134e-08,272.59491783482997,251.97984676975088,253.08813458651468,251.97984676975088,2.363053658684791e-05,FREE,-7.468175249196096,-3.676930686896209,-9.55074438834757,0.9768447068588972,-0.05423821727169041,0.20696046595653067,-0.0015413841465488076,0.0006391218048520386,0.007448938675224781,-5.593953584489655e-08,1.2743614625687515e-05,0.0
0.0018885999452322721,0.00944299972616136,0.5049930473875033,7.659656026753641e-07,0.592973106639201,0.008813677263528821,1.336810247029379e-08,271.3832854304077,250.6433130793831,251.9229536536307,250.6433130793831,1.671305424062604e-05,FREE,-7.468175402222786,-3.6769326458632134,-9.550744251929844,0.9769269441891829,-0.053063823042033054,0.20687671788132472,-0.001779701909981668,0.0007379399612545967,0.008600641041994095,-5.5903513146902693e-08,1.47132792386183e-05,0.0
0.001988000003620982,0.00994000001810491,0.57474740161049,8.098199113335218e-07,0.624142667679118,0.010031066292955644,1.4133312684161732e-08,270.1340392675743,249.26525293789086,250.7216453220193,249.26525293789086,9.389536104592232e-06,FREE,-7.468175557678054,-3.6769346665176057,-9.550744110720787,0.9770103476329083,-0.05185233785170115,0.20679002799346197,-0.002025530906394124,0.0008398732170462608,0.009788641706109047,-5.3430028488806804e-08,1.6744816684241753e-05,0.0
0.002087400062009692,0.010437000310048461,0.6456970245536038,8.402639181190041e-07,0.6553061430144934,0.011269300507014173,1.4664440697213716e-08,268.8639860425691,247.86420349523885,249.50037460812868,247.86420349523885,1.8376101117767317e-06,FREE,-7.468175713301238,-3.676936721719154,-9.550743966581452,0.9770936947509937,-0.050620014569451775,0.2067015379788944,-0.002275572158396244,0.0009435536339879036,0.010996999219059944,-4.837633716651087e-08,1.881092960187009e-05,0.0
0.0021867998875677586,0.010933999437838793,0.7168766478926011,8.460579014774907e-07,0.6864631564552848,0.012511531390835287,1.4765340236099065e-08,267.59042493878644,246.45924699292289,248.2757775899152,246.45924699292289,-5.759599022678785e-06,FREE,-7.468175866897613,-3.6769387834763405,-9.550743821459067,0.977175806579296,-0.04938361845240532,0.20661244218257968,-0.002526423893868923,0.0010475708404555917,0.012209273874759674,-4.0734586399387815e-08,2.0883473124204026e-05,0.0
0.0022861999459564686,0.011430999729782343,0.7873154264351209,8.358390580757787e-07,0.7176135489991893,0.013740814005847594,1.4586766321704804e-08,266.3307219368732,245.06954144895505,247.06455211954687,245.06954144895505,-1.321790127823831e-05,FREE,-7.468176016396714,-3.6769408236275707,-9.550743677341673,0.9772555791695304,-0.04816001585862073,0.20652395951686406,-0.0027746648993343115,0.0011505059665068984,0.013408930972218513,-3.063722040726356e-08,2.293414006194445e-05,0.0
0.0023856000043451786,0.011928000021725893,0.856060387423826,8.037764607584286e-07,0.7487569334658711,0.014940516465999283,1.402697988368067e-08,265.1018906026179,243.7138580113153,245.88305462785127,243.7138580113153,-2.0355682701571596e-05,FREE,-7.468176159900881,-3.676942814526025,-9.550743536208673,0.9773320094027602,-0.04696576665734983,0.20643730321589246,-0.0030169361270964146,0.00125096645206213,0.014579740352928638,-1.835176616734793e-08,2.4935149230291614e-05,0.0
