normalized_phase,theta_rock_deg,theta_cross_deg,q_rock,q_cross
0.0,0.0,0.0,0.0,0.0
0.0025,0.15707317311820676,0.0,0.002741440603574895,0.0
0.005,0.3141075907812829,0.0,0.005482184203694317,0.0
0.0075,0.47106450709642655,0.0,0.008221534014756338,0.0
0.01,0.6279051952931337,0.0,0.010958793686709564,0.0
0.0125,0.7845909572784494,0.0,0.013693267522437227,0.0
0.015,0.9410831331851431,0.0,0.016424260694672725,0.0
0.0175,1.0973431109104528,0.0,0.01915107946229155,0.0
0.02,1.2533323356430426,0.0,0.02187303138582588,0.0
0.0225,1.4090123193758266,0.0,0.02458942554204922,0.0
0.025,1.5643446504023086,0.0,0.02729957273748035,0.0
0.0275,1.7192910027940953,0.0,0.030002785720657395,0.0
0.03,1.873813145857246,0.0,0.03269837939303533,0.0
0.0325,2.027872953565125,0.0,0.035385671018362264,0.0
0.035,2.1814324139654255,0.0,0.03806398043039271,0.0
0.0375,2.334453638559054,0.0,0.0407326302387989,0.0
0.04,2.486898871648548,0.0,0.04339094603314408,0.0
0.0425,2.6387304996537293,0.0,0.04603825658478528,0.0
0.045,2.789911060392293,0.0,0.048673894046576675,0.0
0.0475,2.9404032523230397,0.0,0.05129719415024793,0.0
0.05,3.090169943749474,0.0,0.053907496401336526,0.0
0.0525,3.239174181981493,0.0,0.05650414427155657,0.0
0.055,3.3873792024529137,0.0,0.05908648538849163,0.0
0.0575,3.5347484377925715,0.0,0.06165387172250268,0.0
0.06,3.681245526846779,0.0,0.06420565977074814,0.0
0.0625,3.826834323650898,0.0,0.06674121073821669,0.0
0.065,3.971478906347806,0.0,0.0692598907156789,0.0
0.0675,4.115143586051088,0.0,0.07176107085446941,0.0
0.07,4.257792915650727,0.0,0.07424412753801535,0.0
0.0725,4.399391698559151,0.0,0.07670844255003338,0.0
0.075,4.5399049973954675,0.0,0.07915340323932221,0.0
0.0775,4.679298142605734,0.0,0.08157840268108295,0.0
0.08,4.817536741017153,0.0,0.08398283983470624,0.0
0.0825,4.954586684324076,0.0,0.08636611969796948,0.0
0.085,5.090414157503713,0.0,0.08872765345759387,0.0
0.08750000000000001,5.224985647159488,0.0,0.09106685863611653,0.0
0.09,5.358267949789966,0.0,0.09338315923503883,0.0
0.0925,5.490228179981318,0.0,0.09567598587421745,0.0
0.095,5.620833778521305,0.0,0.09794477592747104,0.0
0.0975,5.750052520432786,0.0,0.1001889736543806,0.0
0.1,5.877852522924732,0.0,0.10240803032826726,0.0
0.10250000000000001,6.00420225325884,0.0,0.10460140436033764,0.0
0.105,6.129070536529763,0.0,0.10676856141999189,0.0
0.1075,6.252426563357051,0.0,0.10890897455129499,0.0
0.11,6.374239897486897,0.0,0.11102212428561783,0.0
0.1125,6.494480483301837,0.0,0.11310749875046011,0.0
0.115,6.613118653236518,0.0,0.11516459377447143,0.0
0.11750000000000001,6.730125135097733,0.0,0.1171929129886936,0.0
0.12,6.845471059286886,0.0,0.11919196792405069,0.0
0.1225,6.959127965923143,0.0,0.12116127810511974,0.0
0.125,7.0710678118654755,0.0,0.12310037114021893,0.0
0.1275,7.181262977631889,0.0,0.12500878280785493,0.0
0.13,7.289686274214116,0.0,0.12688605713957585,0.0
0.1325,7.396310949786097,0.0,0.1287317464992802,0.0
0.135,7.501110696304596,0.0,0.13054541165903708,0.0
0.1375,7.60405965600031,0.0,0.1323266218714754,0.0
0.14,7.705132427757892,0.0,0.13407495493880603,0.0
