case,job,gradient_mT,delta_s_mm,fraction_v_s_positive,longest_near_zero_v_s_ms,axial_reversals,rocking_min_deg,rocking_max_deg,max_radial_COM_drift_mm,contact_count,longest_contact_ms,both_end_bridge_ms
G0,S4_HEADFORWARD_G0,0.0,-0.03309196181850136,0.16343444875406832,61.96499988436699,0,-14.656071979549422,14.37179098867158,0.2432316305109961,59,0.9795986115932465,0.0
G0P25,S4_HEADFORWARD_G0P25,0.25,0.8653106503438108,0.9999986666684444,3.1668005976825953,0,-14.91403193825905,14.579645927634585,0.21152702829939266,52,1.4315024018287659,0.0
G0P5,S4_HEADFORWARD_G0P5,0.5,1.7415978857814625,0.9999986666684444,1.8444005399942398,0,-14.873307950675883,14.403991477188955,0.20348291708232016,29,0.0016009435057640076,0.0
G1P0,S4_HEADFORWARD_G1P0,1.0,3.6844970865824025,0.9999986666684444,1.165800611488521,0,-15.036977227294981,14.841454300593808,0.1908131228936619,45,1.4169998466968536,0.0
