job,G_mT,delta_s_mm,v_mean_mm_s,v_final_mm_s,v_max_mm_s,fraction_v_s_positive,rocking_min_deg,rocking_max_deg,dominant_rocking_frequency_Hz,phase_rate_max_relative_error,TAIL_contact_episodes,HEAD_contact_episodes,peak_contact_resultant_N,TAIL_impact_wall_normal_velocity_mm_s,HEAD_impact_wall_normal_velocity_mm_s,TAIL_post_contact_separation_velocity_mm_s,HEAD_post_contact_separation_velocity_mm_s,TAIL_same_end_recontact,HEAD_same_end_recontact,obvious_rebound,minimum_wall_gap_mm,gross_penetration,both_wall_bridge_longest_ms,tumble,contact_force_catastrophic,contact_safety_passed,background_flow_mm_s,v_mean_over_U_flow,runtime_s,socket_calls
FAST_VMEAN5_G2_UFLOW0P5_2CYCLES,2.0,0.21939058212005033,13.163434240676425,31.31136889871067,31.31136889871067,0.9740085198296035,-12.810706940781701,13.327769450884155,119.99668633402652,2.476893050218365e-06,10,0,0.1202041166763851,-336.85408864696467,0.0,159.02451944612213,0.0,True,False,True,-0.0017930421195022639,False,0.0,False,False,True,0.5,26.32686848135285,134.7421111,0
FAST_VMEAN5_G3_UFLOW0P5_2CYCLES,3.0,0.3824231046791989,22.945385084056845,50.8144716879312,50.8144716879312,0.9999880002399952,-12.877150798357933,13.326430260710165,119.99668633402652,2.476893050218365e-06,14,0,0.11934355409649405,-416.61832825828674,0.0,160.08099107219792,0.0,True,False,True,-0.0020139009776275474,False,0.0,False,False,True,0.5,45.89077016811369,124.6125862,0
FAST_VMEAN5_G4_UFLOW0P5_2CYCLES,4.0,0.5505971602564682,33.03582789243541,70.98039732848927,70.98039732848927,0.9999880002399952,-12.96498720202165,13.326734715892147,119.99668633402652,2.476893050218365e-06,10,0,0.11983640258247777,-336.8507399464389,0.0,160.26137493026937,0.0,True,False,True,-0.005427804393629221,False,0.0,False,False,True,0.5,66.07165578487081,130.8565156,0
FAST_VMEAN5_G1P184_UFLOW0P5_2CYCLES,1.184,0.08446765889876755,5.068059269606165,15.1381989803827,15.1381989803827,0.8933461330773385,-12.925448822805622,13.327801145838654,119.99668633402652,2.476893050218365e-06,12,0,0.12047473926004197,-336.85545428141324,0.0,159.0667858809835,0.0,True,False,True,-0.0023062014428897326,False,0.0,False,False,True,0.5,10.13611853921233,124.5239998,0
