t_s,rp_x_aba_mm,rp_y_aba_mm,rp_z_aba_mm,ur1,ur2,ur3,fx_aba_N,fy_aba_N,fz_aba_N,tx_aba_Nmm,ty_aba_Nmm,tz_aba_Nmm,driver_arc_mm,robot_arc_mm,force_tangent_N,force_normal_N,rp_x_mag_mm,rp_y_mag_mm,rp_z_mag_mm,tx_mag_Nmm,ty_mag_Nmm,tz_mag_Nmm,drive_scale,endpoint_reached,h_head_mm,h_tail_mm,vn_head_close_mm_s,vn_tail_close_mm_s,Flub_head_mN,Flub_tail_mN,Flub_x_N,Flub_y_N,Flub_z_N,Mlub_x_Nmm,Mlub_y_Nmm,Mlub_z_Nmm,lub_power_W,active_head,active_tail,wall_tri_head,wall_tri_tail,commanded_frequency_Hz,instantaneous_phase_rad,cone_angle_deg,B_aba_T,Bx_aba_T,By_aba_T,Bz_aba_T
1.0559219828036989e-07,-7.468174204284,-3.676918015967,-9.550745259298,0,0,0,-1.6612226627374618e-13,-1.8173485119607731e-13,9.312693730171228e-14,1.3984166990009398e-11,-3.2883532575575463e-10,-2.0902001139992405e-10,18.899961259553187,13.799960625932426,7.870498024483816e-06,2.576150136743263e-21,-1.4895443071719092,4.2967127206258695,-0.034883170046921194,2.8068881369565806e-11,-1.589588613138509e-10,-3.549109914688291e-10,3.344678236777099e-08,False,,,,,,,,,,,,,,,,,,30.0,4.328436448606401,30.0,0.01,-0.0019882926031986113,-0.0053173701555077005,0.008232391338692647
0.0001002069927110243,-7.4681741837893005,-3.676917781725567,-9.550745297963996,2.573271170064297e-06,-2.3959208335141875e-05,-1.4681162843400596e-05,-1.3963416766429476e-07,-1.5275733501336887e-07,7.827790138512367e-08,1.1103524477048006e-05,-0.00027758138514554425,-0.00017359729527434973,18.900561867956263,13.799960625932426,7.871011356556877e-06,8.470329472543003e-22,-1.4895443601368628,4.29671293303795,-0.034883075919545294,2.3975705901941e-05,-0.00013577883725589024,-0.000297153171683634,0.02811187887657331,False,,,,,,,,,,,,,,,,,,30.0,4.347305118074294,30.0,0.01,-0.0019357712017176098,-0.0052576333767912434,0.008283120253253087
0.0002003086646864554,-7.468173601585972,-3.6769141770028657,-9.550745747865555,3.8700258996179516e-05,-0.00036708836124250315,-0.0002225593693571436,-5.177334753213092e-07,-5.663913586496502e-07,2.902376302511652e-07,3.8745324330090734e-05,-0.001034226079953167,-0.0006361670981940603,18.901162477988116,13.799960625932426,7.866205114864852e-06,9.470116246213047e-22,-1.4895448849291013,4.296716237160312,-0.0348815453097316,9.03791240300597e-05,-0.0005118592479946501,-0.0010980278164141836,0.10429648953318141,False,,,,,,,,,,,,,,,,,,30.0,4.366173838711698,30.0,0.01,-0.001884328730337806,-0.005196565163996781,0.00833336761053769
0.00030041170710866903,-7.468169067953343,-3.67690006506784,-9.55074617885441,0.0001871831465270401,-0.00177802399856296,-0.0010658816730906172,-1.0717404015409669e-06,-1.1724652375853931e-06,6.008098939220355e-07,7.52345474284431e-05,-0.0021558656252696584,-0.0013038871645774538,18.90176309624265,13.799960625932426,7.843725619011311e-06,1.8940232492426095e-21,-1.489544453008211,4.296729422292904,-0.03487477389855799,0.00019054876028035833,-0.0010794713393322292,-0.002269795446028525,0.21651895422064404,False,,,,,,,,,,,,,,,,,,30.0,4.385042817672235,30.0,0.01,-0.001833982965728236,-0.005134186555836081,0.008383116060945996
0.000400413047554805,-7.468152686682341,-3.676867494308121,-9.550747040072329,0.0005857978306248582,-0.005347529737854096,-0.003162049044443844,-1.7324045356933672e-06,-1.895220234877089e-06,9.711734145912938e-07,0.00011373085100442165,-0.003524136652490308,-0.0020950933868617034,18.902363104285328,13.799960625932426,7.78577786235709e-06,9.470116246213047e-22,-1.4895380172286314,4.296762075603278,-0.034859864700479214,0.0003148155361803156,-0.001785091840173073,-0.003679161378887102,0.3525948907029501,False,,,,,,,,,,,,,,,,,,30.0,4.403892626261918,30.0,0.01,-0.0017848019888944298,-0.005070585916388774,0.008432297452352966
0.0005004329836569559,-7.46811639252677,-3.6767714777286633,-9.550779893672791,0.0013499384201862725,-0.012337446676688462,-0.007163151110509696,-2.424014175523347e-06,-2.6518290736534347e-06,1.358884761242271e-06,0.0001484485610197024,-0.005020420175118301,-0.0029328015437053117,18.902963223901942,13.799960625932426,7.672379940826077e-06,8.470329472543003e-22,-1.489539801195124,4.2968678357507555,-0.0348391906347958,0.0004528919280262242,-0.0025724055315389373,-0.005196691186476306,0.5006494753230868,False,,,,,,,,,,,,,,,,,,30.0,4.42274594005018,30.0,0.01,-0.001736742735192448,-0.0050057109516870426,0.008480954105518829
0.0006004600089003747,-7.468039743203623,-3.676612899108546,-9.550837915673227,0.0026670223298472092,-0.024308088509192905,-0.013898233350951012,-3.060991564652326e-06,-3.3486711865455312e-06,1.7159696644922196e-06,0.0001740158197309702,-0.006520325556996045,-0.0037417579683323493,18.9035633860534,13.799960625932426,7.477771601860202e-06,1.7462031549538564e-21,-1.4895287323736608,4.29705070807809,-0.03481048448356505,0.0005928503401922176,-0.0033795360349085112,-0.006691258792723525,0.6486622856569431,False,,,,,,,,,,,,,,,,,,30.0,4.44160059011009,30.0,0.01,-0.0016898282522618574,-0.004939591699308509,0.008529062921680208
0.0007004836807771621,-7.467840254974074,-3.6764049366063754,-9.550917036903693,0.004669447350471141,-0.04274116043456428,-0.024133088199862044,-3.5533244762099953e-06,-3.887274773095596e-06,1.991967922971592e-06,0.0001853612248377633,-0.007894274944371497,-0.004449104735185173,18.904163528084663,13.799960625932426,7.176458975021469e-06,4.235164736271502e-22,-1.4894249567859787,4.2973301394726535,-0.034789204251382946,0.0007209518513140479,-0.00413924477048598,-0.008030899687067657,0.7846091568163998,False,,,,,,,,,,,,,,,,,,30.0,4.460454608075281,30.0,0.01,-0.0016440801782302231,-0.004872258495005216,0.008576601746927509
0.0008005334256811724,-7.467511938063955,-3.6761211775720257,-9.551022796155976,0.0075777507982717875,-0.06896860590940847,-0.038442515653576946,-3.815769128323142e-06,-4.174384628197101e-06,2.1390924909824558e-06,0.00017812869864331036,-0.009007733429233748,-0.004984673425542307,18.904763826554085,13.799960625932426,6.744579832821688e-06,1.7462031549538564e-21,-1.4892314740509447,4.297732050497911,-0.034766222486686545,0.0008219874616300932,-0.004778817139554969,-0.009083237522180172,0.8965115761730372,False,,,,,,,,,,,,,,,,,,30.0,4.4793135406903195,30.0,0.01,-0.0015995017208828865,-0.004803715061558245,0.00862356746667243
0.0009005674596595752,-7.467058267115906,-3.6757358554520776,-9.551140548989009,0.011607801315304875,-0.10400670115781989,-0.05707256434961184,-3.7816012256429938e-06,-4.137005540802361e-06,2.119938212618701e-06,0.00015013956325413353,-0.009721681254757298,-0.00528135455102474,18.905364030757955,13.799960625932426,6.163134275232955e-06,8.731015774769282e-22,-1.488953214126787,4.298268786697335,-0.03471482344245153,0.0008806107919663096,-0.005219701959428626,-0.009716252893425158,0.9723056550255981,False,,,,,,,,,,,,,,,,,,30.0,4.498169511865649,30.0,0.01,-0.0015561275294793588,-0.004734014207864082,0.008669923678541667
