frame,time_s,x_mm,y_mm,z_mm,s_mm,centerline_distance_mm,region,axis_tangent_angle_deg,u1,u2,u3,ur1,ur2,ur3,v_mag_mm_s,a_mag_mm_s2,vr_mag_rad_s
18,0.001800053520128131,-7.376572631299496,-3.5867709293961525,-9.625649124383926,13.74779635108491,0.3853995798878125,IN_BEND,17.807488191401294,0.09160134941339493,0.09014710038900375,-0.07490411400794983,0.21468736231327057,-0.3142470419406891,0.11325260996818542,209.45472281450145,115772.13161660993,562.1159901360288
19,0.0019000484608113766,-7.359638758003712,-3.590559832751751,-9.614846348762512,13.728702107575646,0.39046758612180726,IN_BEND,18.773773815543695,0.10853522270917892,0.0863581970334053,-0.06410133838653564,0.24435549974441528,-0.3313654363155365,0.15810509026050568,200.69681033506484,148620.27040594697,569.1320549712942
20,0.0020000594668090343,-7.3432817459106445,-3.5941855385899544,-9.604481782764196,13.710275948276198,0.39536940286514793,IN_BEND,20.43836202957503,0.1248922348022461,0.08273249119520187,-0.05373677238821983,0.27403563261032104,-0.3583393394947052,0.1996292769908905,193.8317954305571,185144.9074252104,586.9432432387691
21,0.0021000010892748833,-7.327390015125275,-3.5976175889372826,-9.594382170587778,13.692374194187838,0.40012266086769493,IN_BEND,22.69136018276441,0.14078396558761597,0.07930044084787369,-0.04363716021180153,0.3033284544944763,-0.39493316411972046,0.23831430077552795,190.30810545543238,332704.84625875956,622.3606758522761
22,0.002200083341449499,-7.311679542064667,-3.6007965430617332,-9.584471460431814,13.67470830173324,0.404656681872683,IN_BEND,25.441345968058823,0.15649443864822388,0.076121486723423,-0.03372645005583763,0.33164334297180176,-0.44056951999664307,0.2745804786682129,187.1818355667617,560077.0147505702,675.6697976348012
23,0.002300034509971738,-7.294811800122261,-3.6035437658429146,-9.57543266005814,13.656135006853846,0.4082868811860106,IN_BEND,27.630781732479043,0.17336218059062958,0.07337426394224167,-0.024687649682164192,0.3682778775691986,-0.47650739550590515,0.31230443716049194,233.61159220587777,250516.6900460636,864.1692805749765
24,0.002400042489171028,-7.271564468741417,-3.6032341718673706,-9.575146263465285,13.633458572491897,0.4043197651263881,IN_BEND,26.302475896793673,0.1966095119714737,0.07368385791778564,-0.02440125308930874,0.4352867901325226,-0.4475996196269989,0.35610246658325195,232.3700096373415,207252.78097930911,817.3390901129361
25,0.002500009024515748,-7.248460218310356,-3.602878548204899,-9.574848983436823,13.6109225287267,0.4003662962695636,IN_BEND,25.628556542694643,0.21971376240253448,0.07403948158025742,-0.02410397306084633,0.5034539103507996,-0.4302852153778076,0.39661046862602234,229.2874734764207,144088.73307238275,789.66432090655
26,0.0026000451762229204,-7.225570648908615,-3.602432519197464,-9.574493896216154,13.588589783151022,0.3964177577209079,IN_BEND,25.55086164177197,0.2426033318042755,0.07448551058769226,-0.023748885840177536,0.5716931819915771,-0.4243803918361664,0.4350367486476898,229.28569990568562,630497.5995676237,764.3777998273838
27,0.0027000687550753355,-7.202738553285599,-3.601920396089554,-9.574040414765477,13.566296720925315,0.39248541860720804,IN_BEND,26.01492596937725,0.26543542742729187,0.07499763369560242,-0.023295404389500618,0.6390212178230286,-0.42964449524879456,0.4721672832965851,227.7628346264357,62252.417499588344,770.8657770458173
28,0.0028000453021377325,-7.179935544729233,-3.6014349684119225,-9.573713071644306,13.544057148679476,0.38855411376218846,IN_BEND,26.986347852522744,0.28823843598365784,0.0754830613732338,-0.02296806126832962,0.7053838968276978,-0.44573166966438293,0.5092732310295105,228.53622984839498,135284.19322548847,784.7027332195247
29,0.002900016028434038,-7.157093793153763,-3.6009999439120293,-9.573231916874647,13.521743029048647,0.3847506343394316,IN_BEND,28.460389706202136,0.3110801875591278,0.07591808587312698,-0.022486906498670578,0.7702552080154419,-0.47256943583488464,0.5472990274429321,227.96834811442557,585526.55197613,810.2678315457736
30,0.003000000026077032,-7.134826749563217,-3.5976532846689224,-9.559938026592135,13.497447083509444,0.38368849825807466,IN_BEND,29.42167574843427,0.33334723114967346,0.07926474511623383,-0.009193016216158867,0.8471474647521973,-0.4959879219532013,0.5799925327301025,298.1318990120249,94635.81067165916,898.5679659292472
