time_s,V1,V2,V3,U1,U2,U3,VR1,VR2,VR3
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0
0.00010010140249505639,0.0014020029921084642,0.009808179922401905,-0.001422795932739973,2.0494699271011996e-08,2.342414262557213e-07,-3.866599485036204e-08,0.10125623643398285,-0.9461559057235718,-0.5778855681419373
0.00020009747822768986,0.012808514758944511,0.07547636330127716,-0.008901909925043583,6.01346130224556e-07,3.830994501186069e-06,-4.876272896581213e-07,0.7497026920318604,-7.168806076049805,-4.324518203735352
0.00030009495094418526,0.11629673838615417,0.21044372022151947,0.024491773918271065,5.1119459385517985e-06,1.7906344510265626e-05,-9.245835599358543e-07,2.4217145442962646,-22.796253204345703,-13.530390739440918
0.0004000964399892837,0.28592973947525024,0.4292258024215698,-0.03214670717716217,2.1457384718814865e-05,5.043095370638184e-05,-1.7740809425959014e-06,5.736429214477539,-50.732818603515625,-29.572017669677734
0.0005000106757506728,0.4669150412082672,1.3873735666275024,-0.525255024433136,5.76637321501039e-05,0.00014609908976126462,-3.446714617894031e-05,9.954343795776367,-91.9484634399414,-52.101715087890625
0.0006000370485708117,1.2846287488937378,1.7527844905853271,-0.7030459046363831,0.000134054891532287,0.00030456046806648374,-9.243484964827076e-05,16.355188369750977,-149.2782440185547,-83.41533660888672
0.0007000611512921751,2.7054569721221924,2.3851280212402344,-0.89570152759552,0.0003330907493364066,0.0005123219452798367,-0.00017149334598798305,24.007720947265625,-220.9332733154297,-121.73432159423828
0.0008000059169717133,4.079647541046143,3.3146591186523438,-1.1929162740707397,0.0006605383823625743,0.0007954335887916386,-0.0002770266146399081,34.034671783447266,-304.32342529296875,-164.28150939941406
0.0009000400896184146,4.811048984527588,4.534667015075684,-1.3456761837005615,0.0011139054549857974,0.0011802478693425655,-0.00039472177741117775,44.92501449584961,-396.73333740234375,-208.40623474121094
0.0010000584879890084,4.100216865539551,6.664682388305664,-2.316455841064453,0.0015642261132597923,0.0017464697593823075,-0.0005948256002739072,49.72369384765625,-491.79388427734375,-251.7487335205078
0.0011000139638781548,2.654900312423706,7.454164028167725,-2.9505317211151123,0.0018993557896465063,0.0024706232361495495,-0.0008499302784912288,49.71573257446289,-585.3018188476562,-293.296875
0.0012000863207504153,109.64303588867188,337.1098327636719,-371.7297668457031,0.004540599882602692,0.010607371106743813,-0.00950926635414362,283.41680908203125,-134.63059997558594,348.63623046875
0.0013000426115468144,110.07127380371094,332.9141540527344,-360.04522705078125,0.015453560277819633,0.044149383902549744,-0.04621913656592369,285.3112487792969,-244.9842529296875,290.5738525390625
0.0014000559458509088,116.63845825195312,323.3475646972656,-349.9793701171875,0.026658212766051292,0.07705787569284439,-0.0818200558423996,266.7502136230469,-338.9605712890625,233.58514404296875
0.0015000704443082213,172.07923889160156,-53.36840057373047,125.61918640136719,0.03906826674938202,0.10437648743391037,-0.11034344881772995,162.21954345703125,156.7238006591797,657.8399658203125
0.0016000049654394388,174.9309539794922,-50.21760940551758,121.2542495727539,0.056444328278303146,0.099124975502491,-0.09805769473314285,185.606201171875,43.62584686279297,592.9900512695312
0.0017000631196424365,176.9569854736328,-44.77149200439453,114.83314514160156,0.07404012233018875,0.09436686336994171,-0.08623702079057693,205.26058959960938,-62.21845626831055,538.0787353515625
0.001800053520128131,173.05799865722656,-39.07247543334961,111.33531188964844,0.09160134941339493,0.09014710038900375,-0.07490411400794983,225.5751495361328,-156.91551208496094,490.3751220703125
0.0019000484608113766,166.36322021484375,-36.54768371582031,106.14497375488281,0.10853522270917892,0.0863581970334053,-0.06410133838653564,245.500732421875,-256.8704528808594,444.5877380371094
0.0020000594668090343,161.24603271484375,-34.61785888671875,101.84343719482422,0.1248922348022461,0.08273249119520187,-0.05373677238821983,254.6079864501953,-343.6058044433594,402.01019287109375
0.0021000010892748833,157.9628448486328,-32.76917266845703,100.95095825195312,0.14078396558761597,0.07930044084787369,-0.04363716021180153,264.67730712890625,-431.7978515625,361.7033996582031
0.002200083341449499,156.1474151611328,-31.528400421142578,98.2903060913086,0.15649443864822388,0.076121486723423,-0.03372645005583763,276.9854736328125,-521.9747924804688,327.6446838378906
0.002300034509971738,233.53294372558594,2.469658374786377,5.535430908203125,0.17336218059062958,0.07337426394224167,-0.024687649682164192,468.7843322753906,322.70452880859375,650.3011474609375
0.002400042489171028,232.31719970703125,4.1169562339782715,2.7551352977752686,0.1966095119714737,0.07368385791778564,-0.02440125308930874,514.4383544921875,215.7412567138672,597.3709716796875
0.002500009024515748,229.21923828125,3.957087993621826,3.9531948566436768,0.21971376240253448,0.07403948158025742,-0.02410397306084633,553.4696044921875,106.01403045654297,553.1746215820312
0.0026000451762229204,229.1434326171875,6.142385959625244,5.243144512176514,0.2426033318042755,0.07448551058769226,-0.023748885840177536,571.6015625,4.449609756469727,507.469482421875
0.0027000687550753355,227.64144897460938,5.946447849273682,4.463104724884033,0.26543542742729187,0.07499763369560242,-0.023295404389500618,598.605712890625,-102.20336151123047,474.82598876953125
0.0028000453021377325,228.46250915527344,4.225811004638672,3.9790432453155518,0.28823843598365784,0.0754830613732338,-0.02296806126832962,614.9675903320312,-203.1057891845703,443.0815734863281
0.002900016028434038,227.86659240722656,4.967690467834473,4.658954620361328,0.3110801875591278,0.07591808587312698,-0.022486906498670578,623.4658203125,-301.78564453125,420.4161682128906
0.003000000026077032,217.3421173095703,45.53083419799805,198.92706298828125,0.33334723114967346,0.07926474511623383,-0.009193016216158867,776.1189575195312,-149.46636962890625,427.4617614746094
