t_s,driver_arc_mm,robot_arc_mm,delta_s_mm,tangent_driver_x,tangent_driver_y,tangent_driver_z,tangent_robot_x,tangent_robot_y,tangent_robot_z,moment_x_Am2,moment_y_Am2,moment_z_Am2,telemetry_ft_N,G6_minus_ft_N,G6_minus_fnorm_N,G6_minus_fx_N,G6_minus_fy_N,G6_minus_fz_N,G6_plus_ft_N,G6_plus_fnorm_N,G6_plus_fx_N,G6_plus_fy_N,G6_plus_fz_N,G3_minus_ft_N,G3_minus_fnorm_N,G3_minus_fx_N,G3_minus_fy_N,G3_minus_fz_N,G3_plus_ft_N,G3_plus_fnorm_N,G3_plus_fx_N,G3_plus_fy_N,G3_plus_fz_N
1.0559219828036989e-07,18.899961259553187,13.799960625932426,-5.100000633620761,-0.6404751879260874,-0.684487486076553,0.3482361484045616,-0.9796095245582824,0.04387010361004848,-0.1960627282375192,0.0011271580256332317,-0.00012866037863976375,0.0002778224112969793,3.935249012241908e-06,-3.093637676877352e-13,5.846860294749703e-13,5.727640033498456e-13,-2.565023669241481e-14,1.1463513810122525e-13,3.093637676877352e-13,5.846860294749703e-13,-5.727640033498456e-13,2.565023669241481e-14,-1.1463513810122525e-13,-1.546818838438676e-13,2.9234301473748515e-13,2.863820016749228e-13,-1.2825118346207405e-14,5.731756905061263e-14,1.546818838438676e-13,2.9234301473748515e-13,-2.863820016749228e-13,1.2825118346207405e-14,-5.731756905061263e-14
0.00010020699266294422,18.900561867955975,13.799960625932426,-5.100601242023549,-0.6403843955711224,-0.684545014889973,0.34829003502583167,-0.9796095245582824,0.04387010361004848,-0.1960627282375192,0.001127149479779817,-0.00012867764174791696,0.0002778490862793739,3.935505675521876e-06,-2.5999848543523873e-07,4.914822536743991e-07,4.814606968508114e-07,-2.156137739119602e-08,9.636135153572719e-08,2.5999848543523873e-07,4.914822536743991e-07,-4.814606968508114e-07,2.156137739119602e-08,-9.636135153572719e-08,-1.2999924271761937e-07,2.4574112683719957e-07,2.407303484254057e-07,-1.078068869559801e-08,4.8180675767863595e-08,1.2999924271761937e-07,2.4574112683719957e-07,-2.407303484254057e-07,1.078068869559801e-08,-4.8180675767863595e-08
0.00020030866516755716,18.901162477991004,13.799960625932426,-5.101201852058578,-0.6402935937609947,-0.6846025339322325,0.3483439167291383,-0.9796095245582824,0.04387010361004848,-0.1960627282375192,0.0011270273007034349,-0.00012892198642648977,0.00027823117166302173,3.933102532317276e-06,-9.64505342061423e-07,1.8235825901729382e-06,1.7863988741520734e-06,-8.000075717236739e-08,3.5753657779574815e-07,9.64505342061423e-07,1.8235825901729382e-06,-1.7863988741520734e-06,8.000075717236739e-08,-3.5753657779574815e-07,-4.822526710307115e-07,9.117912950864691e-07,8.931994370760367e-07,-4.0000378586183694e-08,1.7876828889787408e-07,4.822526710307115e-07,9.117912950864691e-07,-8.931994370760367e-07,4.0000378586183694e-08,-1.7876828889787408e-07
0.0003004117894209187,18.901763096736524,13.799960625932426,-5.101802470804097,-0.6402027814293119,-0.6846600438784647,0.3483977941470234,-0.9796095245582824,0.04387010361004848,-0.1960627282375192,0.0011265244864736485,-0.0001299136403869986,0.0002798017644988691,3.921862842584014e-06,-2.001912546619402e-06,3.7857305691803916e-06,3.7085377229805596e-06,-1.6608039230967157e-07,7.42240663765684e-07,2.001912546619402e-06,3.7857305691803916e-06,-3.7085377229805596e-06,1.6608039230967157e-07,-7.42240663765684e-07,-1.000956273309701e-06,1.8928652845901958e-06,1.8542688614902798e-06,-8.304019615483579e-08,3.71120331882842e-07,1.000956273309701e-06,1.8928652845901958e-06,-1.8542688614902798e-06,8.304019615483579e-08,-3.71120331882842e-07
0.00040041303980458483,18.902363104238827,13.799960625932426,-5.1024024783064,-0.640112052329606,-0.6847174853798438,0.34845161167295974,-0.9796095245582824,0.04387010361004848,-0.1960627282375192,0.001125243725717963,-0.000132385941213872,0.0002837684272453066,3.892888920999528e-06,-3.2587734214699822e-06,6.1637143509909825e-06,6.038033284887339e-06,-2.704027872007171e-07,1.2084746517320419e-06,3.2587734214699822e-06,6.1637143509909825e-06,-6.038033284887339e-06,2.704027872007171e-07,-1.2084746517320419e-06,-1.6293867107349911e-06,3.0818571754954913e-06,3.0190166424436693e-06,-1.3520139360035855e-07,6.042373258660209e-07,1.6293867107349911e-06,3.0818571754954913e-06,-3.0190166424436693e-06,1.3520139360035855e-07,-6.042373258660209e-07
0.000500432467347574,18.902963220804082,13.799960625932426,-5.103002594871656,-0.6400212975575009,-0.6847749274046007,0.3485054339186649,-0.9796095245582824,0.04387010361004848,-0.1960627282375192,0.0011226939728258324,-0.00013710201981153555,0.0002915223482756459,3.836193188040628e-06,-4.623706135199766e-06,8.747064674491729e-06,8.568707867059392e-06,-3.837346335537472e-07,1.7149733641508763e-06,4.623706135199766e-06,8.747064674491729e-06,-8.568707867059392e-06,3.837346335537472e-07,-1.7149733641508763e-06,-2.311853067599883e-06,4.3735323372458645e-06,4.284353933529696e-06,-1.918673167768736e-07,8.574866820754381e-07,2.311853067599883e-06,4.3735323372458645e-06,-4.284353933529696e-06,1.918673167768736e-07,-8.574866820754381e-07
0.0006004567512663176,18.903563366507598,13.799960625932426,-5.103602740575171,-0.6399305292006698,-0.6848323622965999,0.34855925371191765,-0.9796095245582824,0.04387010361004848,-0.1960627282375192,0.0011181754903826075,-0.00014503971219563926,0.0003047475259847424,3.7389017307970534e-06,-5.982521802078844e-06,1.1319837829920633e-05,1.1089020954645412e-05,-4.966024584475645e-07,2.2193982881405185e-06,5.982521802078844e-06,1.1319837829920633e-05,-1.1089020954645412e-05,4.966024584475645e-07,-2.2193982881405185e-06,-2.991260901039422e-06,5.659918914960316e-06,5.544510477322706e-06,-2.4830122922378227e-07,1.1096991440702593e-06,2.991260901039422e-06,5.659918914960316e-06,-5.544510477322706e-06,2.4830122922378227e-07,-1.1096991440702593e-06
0.0007004764433289014,18.90416348465997,13.799960625932426,-5.104202858727545,-0.6398397558369494,-0.6848897846280707,0.3486130659665926,-0.9796095245582824,0.04387010361004848,-0.1960627282375192,0.0011108233287362799,-0.0001570833389772038,0.00032499285676922796,3.5881955110206195e-06,-7.218903881092252e-06,1.3661896618261508e-05,1.3383324050779563e-05,-5.993488201529033e-07,2.6785887238752886e-06,7.218903881092252e-06,1.3661896618261508e-05,-1.3383324050779563e-05,5.993488201529033e-07,-2.6785887238752886e-06,-3.609451940546126e-06,6.830948309130754e-06,6.691662025389781e-06,-2.9967441007645165e-07,1.3392943619376443e-06,3.609451940546126e-06,6.830948309130754e-06,-6.691662025389781e-06,2.9967441007645165e-07,-1.3392943619376443e-06
0.0008005249015240828,18.904763775409144,13.799960625932426,-5.104803149476718,-0.6397489471927572,-0.6849472135441121,0.3486668886256841,-0.9796095245582824,0.04387010361004848,-0.1960627282375192,0.00109954178168819,-0.00017392161903071179,0.00035352954721733963,3.371908366595114e-06,-8.214282659747594e-06,1.5548669962874187e-05,1.523162518984483e-05,-6.821217622697393e-07,3.04851465338588e-06,8.214282659747594e-06,1.5548669962874187e-05,-1.523162518984483e-05,6.821217622697393e-07,-3.04851465338588e-06,-4.107141329873797e-06,7.774334981437094e-06,7.615812594922415e-06,-3.4106088113486965e-07,1.52425732669294e-06,4.107141329873797e-06,7.774334981437094e-06,-7.615812594922415e-06,3.4106088113486965e-07,-1.52425732669294e-06
0.0009005517688860339,18.905363936613316,13.799960625932426,-5.10540331068089,-0.6396581489773888,-0.6850046201357379,0.34872069459599603,-0.9796095245582824,0.04387010361004848,-0.1960627282375192,0.0010830275222558946,-0.00019578249684831412,0.0003910813214206189,3.080729619419715e-06,-8.847423644486455e-06,1.6750365825968145e-05,1.640881790295396e-05,-7.348402842914379e-07,3.2841224228158217e-06,8.847423644486455e-06,1.6750365825968145e-05,-1.640881790295396e-05,7.348402842914379e-07,-3.2841224228158217e-06,-4.423711822243228e-06,8.375182912984072e-06,8.20440895147698e-06,-3.6742014214571897e-07,1.6420612114079109e-06,4.423711822243228e-06,8.375182912984072e-06,-8.20440895147698e-06,3.6742014214571897e-07,-1.6420612114079109e-06
