time_s,sample_index,min_analytic_gap_um,HEAD_gap_um,TAIL_gap_um,nearest_wall_sector_deg,minimum_end_margin_mm
0.0,0,187.18716173495227,196.7842331917772,187.18716173495227,95.29033403618594,10.746529766965683
9.999979738495313e-06,100,187.1871651051465,196.7842361215947,187.1871651051465,95.29033422299509,10.746529766723482
1.9999959476990625e-05,200,187.18721547343713,196.78427990835368,187.18721547343713,95.29033700670253,10.746529763103618
2.9999939215485938e-05,300,187.18743283311562,196.78446886591422,187.18743283311562,95.2903489804928,10.74652974748199
3.999991895398125e-05,400,187.18801551439017,196.78497540864632,187.18801551439017,95.29038097119556,10.746529705603669
4.999990051146597e-05,500,187.1892387546239,196.78603880835354,187.1892387546239,95.29044790204654,10.746529617685779
5.9999878430971876e-05,600,187.19145326115876,196.78796394487802,187.19145326115876,95.29056865686688,10.746529458522177
6.999985635047778e-05,700,187.195083765487,196.79112004932205,187.195083765487,95.29076594603009,10.746529197590899
7.99998379079625e-05,800,187.20062756961676,196.79593944072064,187.20062756961676,95.2910661740127,10.746528799165361
8.999981946544722e-05,900,187.20865308037543,196.8029162525562,187.20865308037543,95.29149930903814,10.746528222430959
9.999980102293193e-05,1000,187.2197983379874,196.81260515470316,187.2197983379874,95.29209875493908,10.746527421607981
0.00010999977530445904,1100,187.2347695340976,196.82562006671523,187.2347695340976,95.29290122612724,10.746526346082797
0.00011999975686194375,1200,187.25433950546932,196.84263285066638,187.25433950546932,95.29394662394544,10.74652494055007
0.00012999973841942847,1300,187.27934624442216,196.864372019227,187.27934624442216,95.2952779182891,10.746523145164838
0.00013999971270095557,1400,187.31069135617494,196.89162139856796,187.31069135617494,95.29694102928563,10.746520895711459
0.0001499997015343979,1500,187.3493385296755,196.92521880393738,187.3493385296755,95.29898471757615,10.746518123786682
0.000159999675815925,1600,187.39631200873836,196.9660547167373,187.39631200873836,95.3014604741238,10.746514756999836
0.00016999966464936733,1700,187.45269498076377,197.01507089128017,187.45269498076377,95.30442241549184,10.74651071919828
0.00017999963893089443,1800,187.51962802358463,197.0732590135515,187.51962802358463,95.30792718571485,10.746505930710184
0.00018999961321242154,1900,187.59830754214457,197.14165935233606,187.59830754214457,95.31203386457776,10.746500308611708
0.00019999960204586387,2000,187.6899840360336,197.22135926594697,187.6899840360336,95.31680387579964,10.746493767032321
0.00020999957632739097,2100,187.79596053974436,197.3134918599897,187.79596053974436,95.32230089848937,10.746486217475494
0.00021999955060891807,2200,187.9175910465989,197.41923463335797,187.9175910465989,95.3285908080107,10.746477569171319
0.0002299995394423604,2300,188.05627858946633,197.53980782846392,188.05627858946633,95.3357415802249,10.746467729485367
0.0002399995137238875,2400,188.21347373485492,197.67647314268842,188.21347373485492,95.34382325640506,10.746456604333048
0.0002499994880054146,2500,188.39067282865906,197.8305322254944,188.39067282865906,95.3529078549145,10.746444098647192
0.00025999947683885694,2600,188.58941620263624,198.0033251462504,188.58941620263624,95.36306935904766,10.746430116887375
0.00026999946567229927,2700,188.81128634933802,198.19622883534566,188.81128634933802,95.3743836533071,10.746414563590982
0.00027999942540191114,2800,189.05790618701147,198.41065560677785,189.05790618701147,95.38692847089548,10.746397343958671
0.00028999941423535347,2900,189.33093747283974,198.6480518127513,189.33093747283974,95.40078342157932,10.74637836447402
0.0002999994030687958,3000,189.6320782637087,198.9098956751339,189.6320782637087,95.4160299490259,10.746357533633356
