time_s,max_reconstruction_error_mm,nodes
0.0,0.0,363
9.999999747378752e-06,4.559552630014757e-15,363
1.9999999494757503e-05,6.827429303149875e-14,363
2.9999999242136255e-05,3.212947837379586e-13,363
3.9999998989515007e-05,1.044372536336353e-12,363
4.999999873689376e-05,2.6472557111393785e-12,363
5.999999848427251e-05,5.471288374368689e-12,363
7.000000186963007e-05,1.0582630514882493e-11,363
7.999999797903001e-05,1.7100549079599795e-11,363
9.000000136438757e-05,2.7687506680153596e-11,363
9.999999747378752e-05,4.061543391444772e-11,363
0.00011000000085914508,5.989318555222041e-11,363
0.00011999999696854502,8.208696276319448e-11,363
0.00013000000035390258,1.1282174957749848e-10,363
0.00014000000373926014,1.4774412698096493e-10,363
0.0001500000071246177,2.0027676450601748e-10,363
0.00015999999595806003,2.5709901467128766e-10,363
0.00016999999934341758,3.345487785981106e-10,363
0.00018000000272877514,4.2112117345343804e-10,363
0.0001900000061141327,5.189257453190006e-10,363
0.00019999999494757503,6.374601452828569e-10,363
0.0002099999983329326,7.452976020885261e-10,363
0.00022000000171829015,9.086217788452122e-10,363
0.0002300000051036477,1.0933149323880145e-09,363
0.00023999999393709004,1.2470792662891741e-09,363
0.0002500000118743628,1.5196886021968777e-09,363
0.00026000000070780516,1.7183092935931915e-09,363
0.0002699999895412475,1.990686800419537e-09,363
0.0002800000074785203,2.2641619508564892e-09,363
0.0002899999963119626,2.5625729767740157e-09,363
0.0003000000142492354,2.9194578425711483e-09,363
0.0003100000030826777,3.464672581511422e-09,363
0.00031999999191612005,3.956761109906478e-09,363
0.00033000000985339284,4.430635575315816e-09,363
0.00033999999868683517,4.892985531865944e-09,363
0.0003499999875202775,5.709468615669865e-09,363
0.0003600000054575503,5.9765843096773235e-09,363
0.0003699999942909926,6.6689282465061995e-09,363
0.0003800000122282654,7.576438660512226e-09,363
0.00039000000106170774,8.429341201250793e-09,363
0.00039999998989515007,9.054115310246915e-09,363
0.00041000000783242285,9.821588949039508e-09,363
0.0004199999966658652,1.1161224186224316e-08,363
0.0004299999854993075,1.216465120088218e-08,363
0.0004400000034365803,1.3119185461663244e-08,363
0.00044999999227002263,1.4422205404051138e-08,363
0.0004600000102072954,1.5967946130810273e-08,363
0.00046999999904073775,1.7269167863442938e-08,363
0.0004799999878741801,1.8072143573144944e-08,363
0.0004900000058114529,1.8501791252075088e-08,363
0.0005000000237487257,2.117137987097041e-08,363
0.0005099999834783375,2.3892213040047474e-08,363
0.0005200000014156103,2.503115264502214e-08,363
0.0005300000193528831,2.7227160262321648e-08,363
0.000539999979082495,2.915980902637037e-08,363
0.0005499999970197678,2.9143227893301445e-08,363
0.0005600000149570405,3.1908845365074375e-08,363
0.0005699999746866524,3.473524752092873e-08,363
0.0005799999926239252,3.536375030517106e-08,363
0.000590000010561198,3.9826758090444245e-08,363
0.0006000000284984708,4.252162044266241e-08,363
0.0006099999882280827,4.5043545971342106e-08,363
0.0006200000061653554,4.793227678765323e-08,363
0.0006300000241026282,4.808767451934031e-08,363
0.0006399999838322401,5.234793649165239e-08,363
0.0006500000017695129,5.5463563022257276e-08,363
0.0006600000197067857,5.91105640099941e-08,363
0.0006699999794363976,6.219007917690231e-08,363
0.0006799999973736703,6.641809936307242e-08,363
0.0006900000153109431,6.922815294543307e-08,363
0.000699999975040555,7.511982951756384e-08,363
0.0007099999929778278,7.91077788125996e-08,363
0.0007200000109151006,7.808652431005739e-08,363
0.0007300000288523734,8.696752913091368e-08,363
0.0007399999885819852,8.754379787202775e-08,363
0.000750000006519258,9.087444948702143e-08,363
0.0007600000244565308,1.0120040825052262e-07,363
0.0007699999841861427,1.0419525938480773e-07,363
0.0007800000021234155,1.0958592682695239e-07,363
0.0007900000200606883,1.1446139577865527e-07,363
0.0007999999797903001,1.2234573139612002e-07,363
0.0008099999977275729,1.2390550479347174e-07,363
0.0008200000156648457,1.2900440627319698e-07,363
0.0008299999753944576,1.3001899075320572e-07,363
0.0008399999933317304,1.3519166669754573e-07,363
0.0008500000112690032,1.4890011891674537e-07,363
0.000859999970998615,1.5089889057023095e-07,363
0.0008699999889358878,1.531434391136642e-07,363
0.0008800000068731606,1.6590417119505375e-07,363
0.0008900000248104334,1.718329609884203e-07,363
0.0008999999845400453,1.725234098580978e-07,363
0.000910000002477318,1.8137837437840057e-07,363
0.0009200000204145908,1.9474766756710952e-07,363
0.0009299999801442027,1.8957647876817308e-07,363
0.0009399999980814755,2.0402368129273195e-07,363
0.0009500000160187483,2.1202282764715488e-07,363
0.0009599999757483602,2.2153267121774533e-07,363
0.0009699999936856329,2.2947320020878496e-07,363
0.0009800000116229057,2.3464471513522759e-07,363
0.0009899999713525176,2.434916560643946e-07,363
0.0010000000474974513,2.491954877191657e-07,363
0.0010100000072270632,2.545906978966291e-07,363
0.001019999966956675,2.466254730720586e-07,363
0.0010300000431016088,2.5413741721894274e-07,363
0.0010400000028312206,2.476467386612563e-07,363
0.0010499999625608325,2.470072653703039e-07,363
0.0010600000387057662,2.503211817421665e-07,363
0.001069999998435378,2.6419382131241987e-07,363
0.00107999995816499,2.6504182269906263e-07,363
0.0010900000343099236,2.6130347315481744e-07,363
0.0010999999940395355,2.503972661158791e-07,363
0.0011099999537691474,2.6482582825424147e-07,363
0.001120000029914081,2.562115120713675e-07,363
0.001129999989643693,2.8033029516499914e-07,363
0.0011399999493733048,2.7081411971807455e-07,363
0.0011500000255182385,2.6519128160315797e-07,363
0.0011599999852478504,2.7192519476631183e-07,363
0.0011699999449774623,3.013273261728409e-07,363
0.001180000021122396,2.8399460250617885e-07,363
0.0011899999808520079,2.8661738638291903e-07,363
0.0012000000569969416,2.8997276784116447e-07,363
0.0012100000167265534,2.847784593476678e-07,363
0.0012199999764561653,2.9669101390110183e-07,363
0.001230000052601099,2.950060878860021e-07,363
0.0012400000123307109,2.964245112236304e-07,363
0.0012499999720603228,3.039325032850687e-07,363
0.0012600000482052565,2.931441438825449e-07,363
0.0012700000079348683,3.1193249818976637e-07,363
0.0012799999676644802,2.9897686544359513e-07,363
0.001290000043809414,3.143260689350651e-07,363
0.0013000000035390258,2.9624031792427637e-07,363
