time_s,cycle_fraction,rp_x_mm,rp_y_mm,rp_z_mm,center_x_mm,center_y_mm,center_z_mm,head_x_mm,head_y_mm,head_z_mm,tail_x_mm,tail_y_mm,tail_z_mm,B_x_T,B_y_T,B_z_T,axis_x,axis_y,axis_z,tangent_x,tangent_y,tangent_z,e1_x,e1_y,e1_z,e2_x,e2_y,e2_z,directed_tilt_deg,robot_phase_deg,delta_s_mm,Vt_mm_s,contact_state
0.004919975530356169,0.14759926591068506,-7.01897667353754,-3.5131208609443787,-9.577458274809631,-7.256074061067632,-3.5023126481742097,-9.58805614719027,-7.794192836804944,-3.4511037462313827,-10.499236375701166,-6.315776967460683,-3.5693766756504384,-8.741312022539834,-0.0009302886300072195,-0.0012931369377083449,0.009872302185294604,0.6427895084105483,-0.051423012790893806,0.7643149361571011,0.9783810176486952,-0.05084982866417835,0.20046166523684114,-0.2001914651230658,0.010404639417476854,0.9797015467837502,-0.0519033871398005,-0.9986521107990591,0.0,38.304864304005875,-56.11504374803204,0.4541868148640962,4.146193959535325,STUCK
0.004929975140839815,0.14789925422519445,-7.018933698588657,-3.5130515705448273,-9.577464035971078,-7.256074061067632,-3.5023126481742097,-9.58805614719027,-7.793965033083251,-3.4521911909054452,-10.499474629366427,-6.315901650959693,-3.568258109187878,-8.741106889413864,-0.000931607598212799,-0.0012838686062557252,0.009873387457837382,0.6426362530971995,-0.05046387751410123,0.7645077130228538,0.9783810176486952,-0.05084982866417835,0.20046166523684114,-0.2001914651230658,0.010404639417476854,0.9797015467837502,-0.0519033871398005,-0.9986521107990591,0.0,38.319658007579456,-56.20339713067888,0.4542241824413562,3.5912399192578763,STUCK
0.004939975216984749,0.14819925650954247,-7.018892541581439,-3.5129814754825714,-9.577470100743684,-7.256074061067632,-3.5023126481742097,-9.58805614719027,-7.793734276917714,-3.453287679120719,-10.499716285581846,-6.316032479623981,-3.567129804742557,-8.740899248846992,-0.0009329409635890988,-0.0012746006757697736,0.009874462324262319,0.6424790423016231,-0.049496576357320694,0.7647030594499367,0.9783810176486952,-0.05084982866417835,0.20046166523684114,-0.2001914651230658,0.010404639417476854,0.9797015467837502,-0.0519033871398005,-0.9986521107990591,0.0,38.33479514225479,-56.29243480965368,0.45425966959963837,3.6156330286835106,STUCK
0.0049499752931296825,0.14849925879389048,-7.01885123556261,-3.5129106055599335,-9.577476130126032,-7.256074061067632,-3.5023126481742097,-9.58805614719027,-7.7934982526407826,-3.4543932865285027,-10.499961258405524,-6.316167802819498,-3.565991750527126,-8.740688532287145,-0.0009342886600527753,-0.0012653336107822121,0.009875526730158178,0.6423175868788192,-0.04852107130374934,0.7649011852688602,0.9783810176486952,-0.05084982866417835,0.20046166523684114,-0.2001914651230658,0.010404639417476854,0.9797015467837502,-0.0519033871398005,-0.9986521107990591,0.0,38.350297782488276,-56.38215701307585,0.45429527024092664,3.606990221457768,STUCK
0.004959975369274616,0.1487992610782385,-7.018809750729846,-3.5128389458757523,-9.577482125980767,-7.256074061067632,-3.5023126481742097,-9.58805614719027,-7.793256804327633,-3.4555084720824056,-10.50020964130688,-6.3163077051498195,-3.564843501806073,-8.74047465850033,-0.000935650682817158,-0.0012560674442098558,0.009876580671743733,0.6421517822512235,-0.04753696944507281,0.7651021664376303,0.9783810176486952,-0.05084982866417835,0.20046166523684114,-0.2001914651230658,0.010404639417476854,0.9797015467837502,-0.0519033871398005,-0.9986521107990591,0.0,38.36617543814579,-56.4725970195995,0.45433101239213514,3.576708359698402,STUCK
0.004969974979758263,0.14909924939274788,-7.018768087083148,-3.5127664815288666,-9.57748808830789,-7.256074061067632,-3.5023126481742097,-9.58805614719027,-7.793009760663663,-3.4566332167625813,-10.500461531625456,-6.3164523420146725,-3.5636850474143027,-8.74025753918971,-0.0009370269623280643,-0.001246802640367443,0.009877624097142906,0.6419814863691266,-0.046544274196400524,0.7653060836677164,0.9783810176486952,-0.05084982866417835,0.20046166523684114,-0.2001914651230658,0.010404639417476854,0.9797015467837502,-0.0519033871398005,-0.9986521107990591,0.0,38.38243903228687,-56.56375128512071,0.45436689529554286,3.549483502612615,STUCK
0.004979975055903196,0.1493992516770959,-7.018726274424838,-3.5126931976181153,-9.577494011519464,-7.256074061067632,-3.5023126481742097,-9.58805614719027,-7.792757002419594,-3.457767859023996,-10.500717022980831,-6.316601878403162,-3.562516051920798,-8.74003707877607,-0.0009384176224574887,-0.001237538369317059,0.009878657099405915,0.6418065756593185,-0.045542692563826884,0.765513019219462,0.9783810176486952,-0.05084982866417835,0.20046166523684114,-0.2001914651230658,0.010404639417476854,0.9797015467837502,-0.0519033871398005,-0.9986521107990591,0.0,38.399099157031,-56.65564354990345,0.45440289015557056,3.5482374520414934,STUCK
0.00498997513204813,0.1496992539614439,-7.018684253150272,-3.5126190494400147,-9.577499893752845,-7.256074061067632,-3.5023126481742097,-9.58805614719027,-7.792498324890271,-3.4589125546151407,-10.500976197933063,-6.316756386331523,-3.5613362887917988,-8.739813198816805,-0.0009398225942227608,-0.0012282750954117957,0.009879679626238478,0.6416269298081516,-0.0445320583376774,0.7657230430940256,0.9783810176486952,-0.05084982866417835,0.20046166523684114,-0.2001914651230658,0.010404639417476854,0.9797015467837502,-0.0519033871398005,-0.9986521107990591,0.0,38.41616571702234,-56.748285728674034,0.45443905338849255,3.5817730441424294,STUCK
0.004999975208193064,0.1499992562457919,-7.018641993457126,-3.512544036994565,-9.577505729420098,-7.256074061067632,-3.5023126481742097,-9.58805614719027,-7.792233538017702,-3.4600675055405725,-10.50123914627937,-6.316915981365588,-3.560145574788678,-8.739585807199969,-0.000941241872633792,-0.0012190128515553408,0.00988069167400814,0.6414424159357018,-0.043512204020915365,0.7659362343823488,0.9783810176486952,-0.05084982866417835,0.20046166523684114,-0.2001914651230658,0.010404639417476854,0.9797015467837502,-0.0519033871398005,-0.9986521107990591,0.0,38.43364956282517,-56.841689687670105,0.454475415272503,3.6402133855434227,STUCK
0.00500997481867671,0.1502992445603013,-7.018599525147724,-3.5124681453806046,-9.577511514795932,-7.256074061067632,-3.5023126481742097,-9.58805614719027,-7.791962574409227,-3.4612330275807817,-10.501505912145046,-6.3170807814733845,-3.5589435950484685,-8.739354856794938,-0.0009426753852419334,-0.0012097521018515477,0.00988169319295955,0.641252953450366,-0.04248285542073339,0.7661526327609167,0.9783810176486952,-0.05084982866417835,0.20046166523684114,-0.2001914651230658,0.010404639417476854,0.9797015467837502,-0.0519033871398005,-0.9986521107990591,0.0,38.451558031578486,-56.93587716057356,0.45451194663863426,3.700494811619573,STUCK
