case,job,duration_ms,s_start_mm,s_end_mm,delta_s_mm,Vt_mean_mm_s,Vt_final_mm_s,Vt_min_mm_s,Vt_max_mm_s,positive_Vt_fraction,precontact_mean_Vt_mm_s,Ft_mean_uN,Ft_min_uN,Ft_max_uN,Jmag_t_Ns,contact_onset_ms,CPRESS_max_MPa,CPRESS_peak_time_ms,min_gap_um,gap_time_ms,UR1_pp_rad,UR2_pp_rad,UR3_pp_rad,max_abs_axis_angle_deg
G6_L45,WobbleCal_F30_Cone30_B10_Grad6Forward_WallOn_Free_003,3.000000026077,13.814214119926389,13.497447083509444,-0.3167670364169446,-110.29240931029734,-250.93869388542558,-250.93869388542558,0.0,0.0,-2.8722134361426983,5.738406866386683,3.616350086833513,7.871011356556878,1.6581801681953173e-08,1.3000426115468,0.4501559138298034,1.3000426115468,-0.5329466905074001,1.5000704443082,0.8471474647521973,0.4959879219532013,0.7033452689647675,29.42167574843427
Gated_G6_L45_to_L3p75,Wobble_F30_BroadToLocalGradient_WallOn_Free_0083_R2,8.3330003544688,13.814214119926389,11.884982149075752,-1.929231970850637,-231.39096063422505,-293.810316114757,-336.2013289450801,0.0,0.0,-2.8722134361426983,97.58846997709044,3.616350086833513,300.0149679416,8.157842440635248e-07,1.3000426115468,6.216233730316162,2.9000353533773997,-1.9200641654272,6.3000731170177,2.141020536422729,0.6895099878311157,1.3923374116420746,32.899590290931386
