event,time_s
t0,0.0
first_contact_onset,0.0013000426115468
CPRESS_peak,0.0013000426115468
min_gap,0.0015000704443082
contact_clear,0.0016000049654394
switch_start,0.0018000049654394
switch_end,0.0023000049654394
t_end,0.003000000026077
