case,delta_p_t_Ns,Jmag_t_Ns,magnetic_only_residual_Ns,residual_over_delta_p
G6_L45,-2.509386938854256e-06,1.6581801681953173e-08,-2.5259687405362093e-06,-1.0066079094559743
Gated_G6_L45_to_L3p75,-2.93810316114757e-06,8.157842440635248e-07,-3.7538874052110947e-06,-1.2776567735439535
