window,start_ms,end_ms,J_forward_estimated_Ns,mean_Ft_uN,positive_fraction
post_switch,1.8000049654394001,3.000000026077,4.20890119985155e-07,339.91145668462445,1.0
post_transition,2.3000049654394,3.000000026077,3.036620104811396e-07,432.9315155194,1.0
