time_s,s_robot_mm,s_driver_mm,delta_s_mm,CPRESS_max_MPa,exact_gap_um,Ft_broad_N,Ft_local_N,Ft_gated_N,weight,dFt_gated_N_per_s
0.0,13.814214119926389,18.899961259553187,5.085747139626799,8.683991026270377e-12,269.3853308852156,3.0920077421977883e-13,1.7864170020763675e-11,3.0920077421977883e-13,0.0,0.002595981935987577
0.000100101402495,13.81421412560787,18.900561867956263,5.0863477423483925,0.0008854995830915,269.3602593029996,2.59861741844816e-07,1.5010353924298032e-05,2.59861741844816e-07,0.0,0.004819983198929023
0.0002000974782276,13.814213922524452,18.90116247798812,5.086948555463668,0.0031921460758894,269.0049954973783,9.639985451753683e-07,5.567128405310166e-05,9.639985451753683e-07,0.0,0.008705239724018002
0.0003000949509441,13.814210664934675,18.90176309624265,5.087552431307975,0.0069003980606794,267.55725308066457,2.0008581724155693e-06,0.0001155252585222,2.0008581724155693e-06,0.0,0.011465259300908703
0.0004000964399892,13.814197335730912,18.902363104285328,5.088165768554417,0.0075501655228435,263.926226659806,3.257047308874711e-06,0.0001880134879886,3.257047308874711e-06,0.0,0.013107866211080274
0.0005000106757506,13.814176186543348,18.902963223901946,5.088787037358598,0.0128884743899106,256.986245884727,4.621231479412036e-06,0.0002667016542188,4.621231479412036e-06,0.0,0.013615232833635506
0.0006000370485708,13.814125987183864,18.9035633860534,5.089437398869535,0.0132687240839004,245.23595632879542,5.979276648888601e-06,0.0003449968486435,5.979276648888601e-06,0.0,0.01296510469789406
0.0007000611512921,13.813964542305188,18.904163528084663,5.090198985779475,0.0288423243910074,227.3306542283462,7.214909617179992e-06,0.0004161774002428,7.214909617179992e-06,0.0,0.011152698898577514
0.0008000059169717,13.813689320569118,18.904763826554085,5.091074505984967,0.045111034065485,202.274626684088,8.209659664258123e-06,0.0004734085121946,8.209659664258123e-06,0.0,0.008139906027411395
0.0009000400896184,13.81330161790845,18.905364030757955,5.092062412849504,0.0370610021054744,156.3615041871509,8.842395031507821e-06,0.0005097139956644,8.842395031507821e-06,0.0,0.003923543675157799
0.001000058487989,13.812948025579315,18.9059641412334,5.093016115654086,0.0398051515221595,104.6957461596249,8.994650426531618e-06,0.0005183128597062,8.994650426531618e-06,0.0,1.1326541113118593e-05
0.0011000139638781,13.812730114570137,18.90656450505873,5.093834390488592,0.0492751076817512,44.426820216387,8.8448501291167e-06,0.0005095306947669,8.8448501291167e-06,0.0,-0.001521790740641106
0.0012000863207504,13.81262286705162,18.907164944115767,5.094542077064148,0.0249926336109638,7.2180894888978,8.69024451491206e-06,0.0005004968010446,8.69024451491206e-06,0.0,-0.0007906127035674365
0.0013000426115468,13.812374506588707,18.907765313254924,5.095390806666217,0.4501559138298034,62.9302626816495,8.686529937519056e-06,0.0005001301211722,8.686529937519056e-06,0.0,-0.0002525260711891547
0.0014000559458509,13.811556663354642,18.90836539434417,5.096808730989528,0.0100899366661906,52.6197385467376,8.639722393875184e-06,0.0004971813971909,8.639722393875184e-06,0.0,-0.0005064879568207059
0.0015000704443082,13.807628943390403,18.908965472074552,5.101336528684149,0.2813631594181061,-0.5329466905074001,8.58521815961452e-06,0.0004932400715886,8.58521815961452e-06,0.0,0.00031957365129999665
0.0016000049654394,13.787676891379354,18.909565718230144,5.121888826850791,0.0158653389662504,53.9154189323735,8.703482600717557e-06,0.0004963387358118,8.703482600717557e-06,0.0,0.0008707916370357394
0.0017000631196424,13.767647415401411,18.91016606959673,5.142518654195319,0.0167243480682373,75.8019685682922,8.759292758710317e-06,0.0004958006057571,8.759292758710317e-06,0.0,0.0003019483300733747
0.0018000535201281,13.74779635108491,18.91076663821605,5.16297028713114,0.0309663582593202,87.06767746417269,8.763907901656735e-06,0.0004923839481764,8.763921582717319e-06,2.82888620090664e-08,0.24845935930935514
0.0019000484608113,13.728702107575646,18.91136724666476,5.18266513908911,0.0879325717687606,87.7803083068944,8.721586320742637e-06,0.0004864935684198,5.844977823677755e-05,0.10408352473403237,0.82620961709743
0.002000059466809,13.710275948276198,18.911967316836407,5.201691368560208,0.0407341420650482,78.87812465450921,8.634263089962512e-06,0.0004782744832253,0.0001740213405058542,0.35215697107081595,1.2382426587932773
0.0021000010892748,13.692374194187838,18.91256759293587,5.22019339874803,0.0869006291031837,49.3322973423069,8.500248750601277e-06,0.0004676562114355,0.0003060281868332845,0.6479888366098935,1.1706328670272708
0.0022000833414494,13.67470830173324,18.91316809351617,5.23845979178293,0.1340675055980682,21.2891218489445,8.316409300854934e-06,0.000454466028231,0.00040813358558628457,0.896150437703344,0.6823953155077753
0.0023000345099717,13.656135006853846,18.913768418581085,5.257633411727239,0.0253176372498273,2.712568852275,8.157368157188134e-06,0.0004426185632961,0.0004426185632961,1.0,0.18256159443332898
0.002400042489171,13.633458572491897,18.914368473867,5.280909901375104,0.0237584356218576,32.8259709373913,8.265534379901079e-06,0.0004446199826244,0.0004446199826244,1.0,0.0055899956202334344
0.0025000090245157,13.6109225287267,18.91496890728824,5.304046378561541,0.028602510690689,45.4587309227154,8.320770902880482e-06,0.0004437376151652,0.0004437376151652,1.0,-0.020719819013214735
0.0026000451762229,13.588589783151022,18.91556913493256,5.326979351781539,0.161019816994667,43.0208193909361,8.330986490720143e-06,0.0004404743066486,0.0004404743066486,1.0,-0.04309907714144634
0.0027000687550753,13.566296720925315,18.91616925793069,5.349872537005375,0.0116765275597572,34.7745355805585,8.300963875061206e-06,0.0004351154888597,0.0004351154888597,1.0,-0.0634902851849608
0.0028000453021377,13.544057148679476,18.91676975334088,5.372712604661404,0.0178794637322425,21.3419282846406,8.23184225911997e-06,0.0004277771740139,0.0004277771740139,1.0,-0.08386696294092522
0.002900016028434,13.521743029048649,18.91737021494068,5.39562718589203,0.101051926612854,3.8889386272311,8.120812796752998e-06,0.0004183466401385,0.0004183466401385,1.0,-0.08509459290151256
0.003000000026077,13.497447083509444,18.91737021494068,5.419923131431235,0.0243751592934131,0.9491465410101,8.047913790293864e-06,0.0004107623534088,0.0004107623534088,1.0,-0.07585500588584397
